"contig","gene","strand","event_id","confirmed","exon_pre_end","exon1_start","exon1_end","exon2_start","exon2_end","exon_aft_start","event_jid","ll_ratio","psi_Brain_brain_3b_TSMRU_V102.star","psi_Brain_brain_3c_TSMRU_V103.star","psi_Brain_brain_a_TSMRU_V29.star","psi_SI_smallintestine_4a_TSMRU_V151.star","psi_SI_smallintestine_4b_TSMRU_V152.star","psi_SI_smallintestine_4c_TSMRU_V153.star","psi_SI_smallintestine_4d_TSMRU_V156.star","depth_Brain_brain_3b_TSMRU_V102.star","depth_Brain_brain_3c_TSMRU_V103.star","depth_Brain_brain_a_TSMRU_V29.star","depth_SI_smallintestine_4a_TSMRU_V151.star","depth_SI_smallintestine_4b_TSMRU_V152.star","depth_SI_smallintestine_4c_TSMRU_V153.star","depth_SI_smallintestine_4d_TSMRU_V156.star","fitPSI_Brain","fitPSI_SI","fitPSI_all","fitW_2group","fitW_all"
"chr1","ENSG00000157916","+","mutex_exons_14",3,2391958,2394647,2394728,2393232,2393355,2395784,"chr1:g.2391958j2394647_2394728j2395784>2391958j2393232_2393355j2395784[splMUT]",0.142510709271569,0.25,0.526315789473684,0.2,0.275,0.357142857142857,0.369230769230769,0.517241379310345,20,19,10,40,28,65,87,0.342521010287844,0.392888357951651,0.37863460959019,47.4351016781733,43.6440333062564
"chr1","ENSG00000157916","+","mutex_exons_15",1,2391958,2395608,2395648,2393232,2393355,2395784,"chr1:g.2391958j2395608_2395648j2395784>2391958j2393232_2393355j2395784[splMUT]",0.0667606310398785,0.0625,0,0.111111111111111,0.0645161290322581,0.28,0,0.125,16,9,9,31,25,41,48,0.0772244922082103,0.103499983596039,0.0949358474712997,14.5506299669748,13.7222139710003
"chr1","ENSG00000157916","+","mutex_exons_16",4,2391958,2395608,2395648,2393270,2393355,2395784,"chr1:g.2391958j2395608_2395648j2395784>2391958j2393270_2393355j2395784[splMUT]",0.125443936651532,0.0625,0,0.0625,0.0526315789473684,0.259259259259259,0,0.125,16,10,16,38,27,43,48,0.0637114377284717,0.0953047504616287,0.0844728134086225,16.5365112014705,14.9852710956563
"chr1","ENSG00000157916","+","mutex_exons_17",0,2391958,2395608,2395648,2393270,2393355,2395790,"chr1:g.2391958j2395608_2395648j2395790>2391958j2393270_2393355j2395790[splMUT]",1.20075166555452,NA,0,0,0,0.5,0,1,0,1,7,7,4,2,2,8.11333005680432e-06,0.311427462316006,0.195555732124822,2.00044905682817,2.0007670633597
"chr1","ENSG00000157916","+","mutex_exons_18",4,2391958,2395608,2395648,2394647,2394728,2395784,"chr1:g.2391958j2395608_2395648j2395784>2391958j2394647_2394728j2395784[splMUT]",0.0100303916622337,0.166666666666667,0,0.333333333333333,0.153846153846154,0.411764705882353,0,0.117647058823529,6,10,3,13,17,24,51,0.140722382385287,0.157457214567464,0.152306063737437,7.67755717845691,7.56625130329263
"chr1","ENSG00000157916","+","mutex_exons_19",0,2391958,2394647,2394728,2395790,2395871,2397116,"chr1:g.2391958j2394647_2394728j2397116>2391958j2395790_2395871j2397116[splMUT]",0.108769364660267,0,0.0112994350282486,0.0099009900990099,0.00896860986547085,0.004739336492891,0.0143884892086331,0.0115473441108545,123,177,101,223,211,278,433,0.00859778963787958,0.0121029293971791,0.0109035218349312,201.876137719893,201.864570597111
"chr1","ENSG00000157916","+","mutex_exons_20",0,2393355,2394647,2394728,2395790,2395871,2397116,"chr1:g.2393355j2394647_2394728j2397116>2393355j2395790_2395871j2397116[splMUT]",0.985069056755149,0.016,0,0,0.0349344978165939,0,0.0143884892086331,0.0296127562642369,125,175,100,229,210,278,439,0.00534611112441329,0.0200890594772653,0.0142932130625578,99.4443565253388,58.4751537128954
"chr1","ENSG00000157916","+","mutex_exons_21",1,2395871,2399470,2399514,2397116,2397220,2400857,"chr1:g.2395871j2399470_2399514j2400857>2395871j2397116_2397220j2400857[splMUT]",1.8210738933374,0.554347826086957,0.546632124352332,0.547511312217195,0.615916955017301,0.655737704918033,0.574961360123648,0.602230483271376,276,386,221,578,610,647,1076,0.549187917540179,0.61153078188647,0.589141437294003,201.965255932615,201.693934263701
"chr1","ENSG00000157873","+","mutex_exons_22",3,2560714,2561744,2561815,2561494,2561724,2562865,"chr1:g.2560714j2561744_2561815j2562865>2560714j2561494_2561724j2562865[splMUT]",3.57228210726215,0.727272727272727,0.782608695652174,0.6875,0.933920704845815,0.84070796460177,0.927835051546392,0.971698113207547,11,23,16,227,113,97,106,0.73522351111496,0.92012292539538,0.866073597855471,67.3549650528889,17.9833112119263
"chr1","ENSG00000157873","+","mutex_exons_23",8,2560714,2561777,2561815,2561494,2561724,2562865,"chr1:g.2560714j2561777_2561815j2562865>2560714j2561494_2561724j2562865[splMUT]",3.97369203349343,0.75,0.791666666666667,0.705882352941177,0.93801652892562,0.862595419847328,0.942622950819672,0.973684210526316,12,24,17,242,131,122,114,0.751062457040673,0.929838197777655,0.878243217384808,87.5412531737311,19.0950740950516
"chr1","ENSG00000116288","+","mutex_exons_24",1,7965425,7969345,7969375,7970894,7970963,7984894,"chr1:g.7965425j7969345_7969375j7984894>7965425j7970894_7970963j7984894[splMUT]",0.497004793529303,0.980952380952381,0.994943109987358,0.989655172413793,0.992890995260663,0.983258928571429,0.981865284974093,0.969098712446352,840,791,580,422,896,1158,1165,0.987355181144565,0.980256232904699,0.983645532166944,201.903445627246,201.864282473554
"chr1","ENSG00000116288","+","mutex_exons_25",0,7965425,7969345,7969375,7970894,7970968,7984894,"chr1:g.7965425j7969345_7969375j7984894>7965425j7970894_7970968j7984894[splMUT]",0.118111833952291,0.997578692493947,0.998730964467005,0.994800693240901,1,0.993235625704622,0.994750656167979,0.992091388400703,826,788,577,419,887,1143,1138,0.995363173342076,0.993534071782296,0.994460496354815,201.946375797163,201.86465477757
"chr1","ENSG00000116288","+","mutex_exons_26",0,7965425,7969345,7969375,7970894,7971000,7984894,"chr1:g.7965425j7969345_7969375j7984894>7965425j7970894_7971000j7984894[splMUT]",0.118111833952291,0.997578692493947,0.998730964467005,0.994800693240901,1,0.993235625704622,0.994750656167979,0.992091388400703,826,788,577,419,887,1143,1138,0.995363173342076,0.993534071782296,0.994460496354815,201.946375797163,201.86465477757
"chr1","ENSG00000171608","+","mutex_exons_27",2,9691571,9693415,9693571,9710105,9710280,9710424,"chr1:g.9691571j9693415_9693571j9710424>9691571j9710105_9710280j9710424[splMUT]",0.269870884311816,0,NA,0,0.333333333333333,0,0,0,1,0,1,3,1,1,2,9.05837945991249e-06,0.143099289604564,0.111592516336276,198.38990863751,181.903175950147
"chr1","ENSG00000120948","+","mutex_exons_28",0,11013965,11015524,11015646,11016123,11016254,11016844,"chr1:g.11013965j11015524_11015646j11016844>11013965j11016123_11016254j11016844[splMUT]",1.3301761327576,0.375,0.333333333333333,0,0.5,0.727272727272727,0.538461538461538,0.583333333333333,8,3,1,2,11,13,12,0.333106196304863,0.604881434729697,0.538399007272671,201.590019595975,200.818627493142
"chr1","ENSG00000120942","+","mutex_exons_29",1,11274060,11285644,11285732,11293467,11293626,11294873,"chr1:g.11274060j11285644_11285732j11294873>11274060j11293467_11293626j11294873[splMUT]",0.153700988643689,1,0.96,1,1,1,1,0.987012987012987,46,25,15,14,53,56,77,0.987452321051035,0.994310928816182,0.992171345750764,201.854464441014,201.881825340973
"chr1","ENSG00000116731","+","mutex_exons_30",0,13749487,13750420,13750486,13754251,13754365,13773078,"chr1:g.13749487j13750420_13750486j13773078>13749487j13754251_13754365j13773078[splMUT]",0.0591005005998113,1,NA,0,1,0.333333333333333,1,0,1,0,2,1,6,1,1,0.333963310103337,0.446080866065852,0.41856584313085,193.864352095872,188.644269899655
"chr1","ENSG00000116731","+","mutex_exons_31",0,13749487,13750420,13750486,13769039,13769173,13773078,"chr1:g.13749487j13750420_13750486j13773078>13749487j13769039_13769173j13773078[splMUT]",2.4921194911059,0.0526315789473684,0,0,0.5,0.166666666666667,0.2,0,19,13,11,2,12,5,2,0.0240290705152655,0.192336964863404,0.0795781271571286,201.434495027843,192.727751604753
"chr1","ENSG00000116731","+","mutex_exons_32",2,13749487,13769118,13769173,13750420,13750486,13773078,"chr1:g.13749487j13769118_13769173j13773078>13749487j13750420_13750486j13773078[splMUT]",1.41930301173636,0.941176470588235,1,1,0.75,0.888888888888889,0.875,1,17,14,14,4,18,8,5,0.977031884472248,0.884022924085989,0.936444928275117,201.666694748159,199.773246597808
"chr1","ENSG00000116731","+","mutex_exons_33",0,13749487,13754251,13754365,13769039,13769173,13773078,"chr1:g.13749487j13754251_13754365j13773078>13749487j13769039_13769173j13773078[splMUT]",1.32659524686471,0,0,0.153846153846154,0,0.285714285714286,0,0.333333333333333,18,13,13,1,14,4,3,0.0434035397459636,0.222472916562143,0.109873143279481,37.8921749379873,6.87999714931255
"chr1","ENSG00000116731","+","mutex_exons_34",0,13749487,13769118,13769173,13754251,13754365,13773078,"chr1:g.13749487j13769118_13769173j13773078>13749487j13754251_13754365j13773078[splMUT]",0.828643236619325,1,1,0.875,1,0.8,1,0.833333333333333,16,14,16,3,20,7,6,0.957382886879997,0.862859277580551,0.920602048025476,179.757166784393,18.523425850071
"chr1","ENSG00000116731","+","mutex_exons_35",1,13750154,13769118,13769173,13750420,13750486,13773078,"chr1:g.13750154j13769118_13769173j13773078>13750154j13750420_13750486j13773078[splMUT]",2.34508375980918,0.923076923076923,1,1,0.5,0.923076923076923,0.8,0.5,13,12,8,2,13,5,4,0.968943374348288,0.788521724710356,0.882321218296582,199.583707800139,25.709822452822
"chr1","ENSG00000142621","+","mutex_exons_36",0,15313187,15316378,15316467,15324452,15324559,15327059,"chr1:g.15313187j15316378_15316467j15327059>15313187j15324452_15324559j15327059[splMUT]",1.42661972596536,0.666666666666667,0.333333333333333,1,NA,NA,1,1,3,3,2,0,0,1,3,0.625289107516577,0.999990857264947,0.756033343424729,196.172852292981,12.9937788695152
"chr1","ENSG00000142621","+","mutex_exons_37",0,15382193,15383807,15383930,15383156,15383402,15388051,"chr1:g.15382193j15383807_15383930j15388051>15382193j15383156_15383402j15388051[splMUT]",NA,NA,0,NA,NA,NA,NA,NA,0,4,0,0,0,0,0,NA,NA,2.53131359418271e-09,NA,12.6619358348727
"chr1","ENSG00000142621","+","mutex_exons_38",0,15382193,15391210,15391263,15383159,15383280,15397297,"chr1:g.15382193j15391210_15391263j15397297>15382193j15383159_15383280j15397297[splMUT]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"chr1","ENSG00000142621","+","mutex_exons_39",0,15388422,15391210,15391263,15393100,15393217,15397297,"chr1:g.15388422j15391210_15391263j15397297>15388422j15393100_15393217j15397297[splMUT]",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
"chr1","ENSG00000197312","+","mutex_exons_40",0,15633565,15633798,15633879,15638307,15638434,15643522,"chr1:g.15633565j15633798_15633879j15643522>15633565j15638307_15638434j15643522[splMUT]",1.78460375366285e-08,0,0,0,0,0,0,0,23,50,37,39,54,35,26,2.04023874562692e-12,7.59065888498098e-11,3.42950436938195e-10,2.13831294121264,3.0590702585029
"chr1","ENSG00000055070","+","mutex_exons_41",0,16367308,16387055,16387125,16380016,16380093,16391375,"chr1:g.16367308j16387055_16387125j16391375>16367308j16380016_16380093j16391375[splMUT]",1.10508069685676,1,NA,NA,0.5,NA,NA,0,1,0,0,4,0,0,3,0.99999006261024,0.282655052444222,0.377509079921716,38.7274606557747,36.8064870301937
"chr1","ENSG00000055070","+","mutex_exons_42",0,16367308,16380016,16380093,16387502,16387794,16391375,"chr1:g.16367308j16380016_16380093j16391375>16367308j16387502_16387794j16391375[splMUT]",NA,NA,NA,NA,1,NA,0,1,0,0,0,2,0,1,3,NA,NA,0.786177915214105,NA,2.00980318819707
"chr1","ENSG00000055070","+","mutex_exons_43",0,16367308,16390550,16390626,16380016,16380093,16391375,"chr1:g.16367308j16390550_16390626j16391375>16367308j16380016_16380093j16391375[splMUT]",NA,NA,NA,NA,0,NA,NA,0,0,0,0,2,0,0,3,NA,NA,2.60869547208731e-09,NA,15.3330052288633
"chr1","ENSG00000055070","+","mutex_exons_44",0,16367308,16387055,16387125,16387502,16387794,16391375,"chr1:g.16367308j16387055_16387125j16391375>16367308j16387502_16387794j16391375[splMUT]",0.400608312264471,1,NA,NA,1,NA,0,NA,1,0,0,2,0,1,0,0.999990764069949,0.607640539724407,0.720920841455136,2.00070392100776,2.0283181543064
"chr1","ENSG00000055070","+","mutex_exons_45",0,16367308,16387055,16387125,16390550,16390626,16391375,"chr1:g.16367308j16387055_16387125j16391375>16367308j16390550_16390626j16391375[splMUT]",6.69520971996462e-09,1,NA,NA,1,NA,NA,NA,1,0,0,2,0,0,0,0.999999996301182,0.999999999668162,0.999999996253144,16.0507687782866,17.5186951990902
"chr1","ENSG00000055070","+","mutex_exons_46",0,16367308,16390550,16390626,16387502,16387794,16391375,"chr1:g.16367308j16390550_16390626j16391375>16367308j16387502_16387794j16391375[splMUT]",NA,NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,0,NA,NA,4.52370743523386e-08,NA,19.1064674826426
"chr1","ENSG00000058453","+","mutex_exons_47",0,16914137,16930124,16930207,16924325,16924479,16930286,"chr1:g.16914137j16930124_16930207j16930286>16914137j16924325_16924479j16930286[splMUT]",0.608929015457147,1,1,1,1,0.85,1,1,5,12,2,3,20,12,9,0.999990053774158,0.94598491309443,0.967789987676608,14.3391229583161,8.86190495126325
"chr1","ENSG00000040487","+","mutex_exons_48",2,19326623,19327227,19327412,19327571,19328053,19328572,"chr1:g.19326623j19327227_19327412j19328572>19326623j19327571_19328053j19328572[splMUT]",2.17456438524243,0.771428571428571,0.787878787878788,0.78125,0.91304347826087,0.911111111111111,0.86046511627907,0.6,35,33,32,69,45,43,5,0.778658579705269,0.885011402692683,0.841788954282146,201.864284264877,121.382512638516
"chr1","ENSG00000127472","+","mutex_exons_49",0,20059692,20066024,20066129,20063484,20063602,20068873,"chr1:g.20059692j20066024_20066129j20068873>20059692j20063484_20063602j20068873[splMUT]",NA,NA,NA,NA,NA,0,0.181818181818182,0.0263157894736842,0,0,0,0,21,22,76,NA,NA,0.0644870424594993,NA,15.6016473775806
"chr1","ENSG00000127472","+","mutex_exons_50",2,20070465,20076761,20076814,20070845,20070944,20084821,"chr1:g.20070465j20076761_20076814j20084821>20070465j20070845_20070944j20084821[splMUT]",NA,NA,NA,NA,1,0.777777777777778,0.529411764705882,0.684210526315789,0,0,0,3,9,17,19,NA,NA,0.668544695402454,NA,200.616832107934
"chr1","ENSG00000127472","+","mutex_exons_51",2,20070465,20070845,20070944,20076761,20076898,20084821,"chr1:g.20070465j20070845_20070944j20084821>20070465j20076761_20076898j20084821[splMUT]",NA,NA,NA,NA,0,0.333333333333333,0.533333333333333,0.545454545454545,0,0,0,1,6,15,11,NA,NA,0.483100815702517,NA,201.087714543401
"chr1","ENSG00000127472","+","mutex_exons_52",0,20071115,20076761,20076814,20071489,20071635,20084821,"chr1:g.20071115j20076761_20076814j20084821>20071115j20071489_20071635j20084821[splMUT]",4.8748712120217,0,NA,0,0.666666666666667,1,0.875,0.705882352941177,2,0,3,3,11,8,17,9.9898737927982e-06,0.826582466439389,0.603276669790074,19.4515490917809,2.00321906230972
"chr1","ENSG00000127472","+","mutex_exons_53",0,20071115,20076761,20076898,20071489,20071635,20084821,"chr1:g.20071115j20076761_20076898j20084821>20071115j20071489_20071635j20084821[splMUT]",2.97452859896324,0,NA,0,0,1,0.833333333333333,0.444444444444444,2,0,3,1,8,6,9,9.98281513298464e-06,0.680028144330712,0.474473553325257,2.69589616966085,2.00047999453964
"chr1","ENSG00000142794","+","mutex_exons_54",1,21445219,21453373,21453430,21465716,21465817,21466087,"chr1:g.21445219j21453373_21453430j21466087>21445219j21465716_21465817j21466087[splMUT]",0.171129006427138,0.363636363636364,0.666666666666667,0.5,1,0.111111111111111,0,0.666666666666667,11,3,4,3,18,10,12,0.49615333689663,0.358562553170502,0.422872443151056,2.58717395509486,2.35107689627594
"chr1","ENSG00000142794","+","mutex_exons_55",5,21445219,21453373,21453430,21465735,21465817,21466087,"chr1:g.21445219j21453373_21453430j21466087>21445219j21465735_21465817j21466087[splMUT]",0.780747217852213,0.307692307692308,0.666666666666667,0.5,0.5,0.0689655172413793,0,0.571428571428571,13,3,4,6,29,21,14,0.467592659134535,0.222840570418857,0.319270081951165,3.90291790327109,3.12130709034297
"chr1","ENSG00000142794","+","mutex_exons_56",1,21445219,21453373,21453430,21465739,21465817,21466087,"chr1:g.21445219j21453373_21453430j21466087>21445219j21465739_21465817j21466087[splMUT]",0.14838392149194,0.333333333333333,0.666666666666667,0.5,1,0.111111111111111,0,0.666666666666667,12,3,4,3,18,10,12,0.487045331189499,0.359416204557607,0.419162634039705,2.54198980231407,2.34894673176493
"chr1","ENSG00000142676","+","mutex_exons_57",0,23693913,23695772,23695908,23694660,23694857,23696344,"chr1:g.23693913j23695772_23695908j23696344>23693913j23694660_23694857j23696344[splMUT]",0.00139427595851771,0.269307923771314,0.289473684210526,0.355515041020966,0.33083645443196,0.316373347942204,0.295657993809086,0.276356470628206,1994,1444,1097,3204,14603,23906,29433,0.303667038946821,0.305029604589765,0.30447377931779,201.864380875872,201.864293724845
"chr1","ENSG00000117640","+","mutex_exons_58",11,25823128,25823238,25823323,25823346,25823439,25823644,"chr1:g.25823128j25823238_25823323j25823644>25823128j25823346_25823439j25823644[splMUT]",0.519702603550513,0.739130434782609,0.5,0.9375,0.782608695652174,0.642857142857143,0.606060606060606,0.673076923076923,23,10,16,23,14,33,52,0.754630293191999,0.672213142464715,0.697221919950665,200.967848354077,198.627228673237
"chr1","ENSG00000236155","+","mutex_exons_59",0,26225703,26226586,26226616,26227404,26227555,26227794,"chr1:g.26225703j26226586_26226616j26227794>26225703j26227404_26227555j26227794[splMUT]",2.73226952174355e-08,0,0,0,0,NA,0,0,2,6,6,3,0,6,3,1.89278468288541e-09,3.48430920662766e-10,2.26847305633988e-09,5.92820166918635,11.2893171354637
"chr1","ENSG00000009780","+","mutex_exons_60",0,27727536,27727829,27727866,27730232,27730333,27732603,"chr1:g.27727536j27727829_27727866j27732603>27727536j27730232_27730333j27732603[splMUT]",NA,NA,NA,NA,NA,0,NA,0,0,0,0,0,1,0,8,NA,NA,3.00894215590388e-09,NA,9.19234803312855
"chr1","ENSG00000130775","+","mutex_exons_61",0,27872665,27876588,27876728,27882513,27883043,27885295,"chr1:g.27872665j27876588_27876728j27885295>27872665j27882513_27883043j27885295[splMUT]",5.48231150748113,0.823529411764706,0.796296296296296,0.818181818181818,0.365853658536585,0.714285714285714,0.363636363636364,0.444444444444444,34,54,22,41,14,11,18,0.80822794841263,0.44459578194601,0.625877271922901,201.864133927265,7.32087349723938
"chr1","ENSG00000130775","+","mutex_exons_62",0,27872665,27876588,27876733,27882513,27883043,27885295,"chr1:g.27872665j27876588_27876733j27885295>27872665j27882513_27883043j27885295[splMUT]",3.13526783238712,0.684210526315789,0.676470588235294,0.789473684210526,0.315789473684211,0.714285714285714,0.363636363636364,0.411764705882353,19,34,19,38,14,11,17,0.708444209702395,0.417214657122549,0.563668312026683,192.250686679758,11.041423039954
"chr1","ENSG00000130775","+","mutex_exons_63",0,27876728,27882513,27882785,27879644,27880054,27885295,"chr1:g.27876728j27882513_27882785j27885295>27876728j27879644_27880054j27885295[splMUT]",-3.69104995456837e-08,0,0,0,0,0,NA,0,3,11,3,18,10,0,11,3.77218007138724e-09,5.59416443139714e-10,2.79547075136957e-10,2.94078108282471,4.67935907558219
"chr1","ENSG00000130775","+","mutex_exons_64",0,27876728,27879949,27880054,27882513,27882785,27885295,"chr1:g.27876728j27879949_27880054j27885295>27876728j27882513_27882785j27885295[splMUT]",-1.03048449773269e-08,1,1,1,NA,NA,NA,1,1,2,1,0,0,0,1,0.999999999528355,0.999999990693474,0.999999999825558,17.6140061817705,17.7978498924072
"chr1","ENSG00000158156","+","mutex_exons_65",2,27963693,27964185,27964235,27965351,27965458,27966503,"chr1:g.27963693j27964185_27964235j27966503>27963693j27965351_27965458j27966503[splMUT]",0.402991793346922,0,0,0.666666666666667,1,0.4,0.25,0,2,2,3,7,5,8,2,0.239378879189316,0.48823902333866,0.395710978158859,2.00261381854727,2.00483408434128
"chr1","ENSG00000204138","+","mutex_exons_66",7,28407463,28432931,28433046,28438273,28438430,28459085,"chr1:g.28407463j28432931_28433046j28459085>28407463j28438273_28438430j28459085[splMUT]",1.6977156178466,0,0,NA,0.8,0.555555555555556,0.166666666666667,1,1,1,0,10,9,6,4,9.98576486214902e-06,0.619576548484742,0.525353702519843,3.61196850230702,3.06423584528258
"chr1","ENSG00000204138","+","mutex_exons_67",6,28407463,28457832,28457855,28432931,28433046,28459085,"chr1:g.28407463j28457832_28457855j28459085>28407463j28432931_28433046j28459085[splMUT]",3.54845740512278,1,1,1,0.466666666666667,0.791666666666667,0.967741935483871,0.91304347826087,21,16,15,15,24,31,46,0.999990024413209,0.79585460443729,0.87953959928121,5.7012180735647,3.26594849638544
"chr1","ENSG00000204138","+","mutex_exons_68",11,28407463,28457832,28457855,28438273,28438430,28459085,"chr1:g.28407463j28457832_28457855j28459085>28407463j28438273_28438430j28459085[splMUT]",0.529555686799942,0.954545454545455,0.941176470588235,1,0.777777777777778,0.826086956521739,0.857142857142857,1,22,17,15,9,23,35,42,0.952415664811254,0.89228593272101,0.915194343884658,26.4102867789812,16.9608368265933
