"contig","gene","strand","event_id","confirmed","exon_pre_end","exon1_start","exon1_end","exon2_start","exon2_end","exon_aft_start","event_jid","alpha","beta","depth_min","depth_q05","depth_q25","depth_median","depth_q75","depth_q95","depth_max","psi_min","psi_q05","psi_q25","psi_median","psi_q75","psi_q95","psi_max","log-likelihood"
"chr1","ENSG00000157916","+","mutex_exons_11",4,2391958,2393208,2393231,2395608,2395648,2395784,"chr1s+:g.2391958j2393208_2393231j2395784>2391958j2395608_2395648j2395784[splMUT]",3.01797433953382,0.999998593271271,3,3,5,6,11,14.8,18,0,0.290909090909091,0.666666666666667,0.75,0.916666666666667,1,1,29.7827367730732
"chr1","ENSG00000157916","+","mutex_exons_12",0,2391958,2393208,2393231,2395608,2395648,2395790,"chr1s+:g.2391958j2393208_2393231j2395790>2391958j2395608_2395648j2395790[splMUT]",4.1905587763916,0.414276860721092,0,0.8,2,3,6,9.4,11,0.428571428571429,0.607142857142857,0.972222222222222,1,1,1,1,12.3369623873069
"chr1","ENSG00000157916","+","mutex_exons_13",4,2391958,2395608,2395648,2393208,2393355,2395784,"chr1s+:g.2391958j2395608_2395648j2395784>2391958j2393208_2393355j2395784[splMUT]",0.999999811886605,27.2140525501796,20,24.8,33,38,77,93.4,103,0,0,0.0149253731343284,0.0344827586206897,0.043956043956044,0.0958041958041958,0.115384615384615,30.4064538551349
"chr1","ENSG00000157916","+","mutex_exons_14",3,2391958,2394647,2394728,2393232,2393355,2395784,"chr1s+:g.2391958j2394647_2394728j2395784>2391958j2393232_2393355j2395784[splMUT]",0.999999844927098,2.573424617157,17,25.8,43,67,91,131.8,163,0.0967741935483871,0.113472485768501,0.149425287356322,0.318681318681319,0.415094339622642,0.518214285714286,0.6625,65.0917462550603
"chr1","ENSG00000157916","+","mutex_exons_15",1,2391958,2395608,2395648,2393232,2393355,2395784,"chr1s+:g.2391958j2395608_2395648j2395784>2391958j2393232_2393355j2395784[splMUT]",0.999999830639092,25.9809177731822,15,22.2,31,37,74,88.8,92,0,0,0.0158730158730159,0.0384615384615385,0.0454545454545455,0.0905448717948718,0.09375,30.0261344886352
"chr1","ENSG00000157916","+","mutex_exons_16",4,2391958,2395608,2395648,2393270,2393355,2395784,"chr1s+:g.2391958j2395608_2395648j2395784>2391958j2393270_2393355j2395784[splMUT]",0.999999954859986,29.6749542832258,27,27.8,35,49,78,97,101,0,0,0.0128205128205128,0.0297029702970297,0.0408163265306122,0.0936842105263158,0.1,30.3637721674022
"chr1","ENSG00000157916","+","mutex_exons_17",0,2391958,2395608,2395648,2393270,2393355,2395790,"chr1s+:g.2391958j2395608_2395648j2395790>2391958j2393270_2393355j2395790[splMUT]",0.246516607778089,3.93539443158891,1,1.8,4,6,11,20,20,0,0,0,0,0,0.206060606060606,0.666666666666667,13.6867711500778
"chr1","ENSG00000157916","+","mutex_exons_18",4,2391958,2395608,2395648,2394647,2394728,2395784,"chr1s+:g.2391958j2395608_2395648j2395784>2391958j2394647_2394728j2395784[splMUT]",0.999999983675017,11.145487839339,2,4.4,13,21,30,59,75,0,0,0.0266666666666667,0.0476190476190476,0.137254901960784,0.232967032967033,0.307692307692308,29.4801589947119
"chr1","ENSG00000157916","+","mutex_exons_19",0,2391958,2394647,2394728,2395790,2395871,2397116,"chr1s+:g.2391958j2394647_2394728j2397116>2391958j2395790_2395871j2397116[splMUT]",0.99995013717546,79.8985502843072,162,166,209,321,572,709.2,750,0,0,0.00369685767097967,0.00896860986547085,0.013986013986014,0.0371062651436483,0.0373831775700935,43.8782073363276
"chr1","ENSG00000157916","+","mutex_exons_20",0,2393355,2394647,2394728,2395790,2395871,2397116,"chr1s+:g.2393355j2394647_2394728j2397116>2393355j2395790_2395871j2397116[splMUT]",0.999999075004298,77.6888085357773,155,163,205,310,569,702.6,761,0,0,0.00145772594752187,0.00878734622144113,0.0248756218905473,0.0359833125389894,0.0401785714285714,44.2018623228542
"chr1","ENSG00000157916","+","mutex_exons_21",1,2395871,2399470,2399514,2397116,2397220,2400857,"chr1s+:g.2395871j2399470_2399514j2400857>2395871j2397116_2397220j2400857[splMUT]",1.95118290331194,0.999998294934729,382,416.4,490,753,1438,1830,1838,0.546875,0.553011363636364,0.585657370517928,0.609442060085837,0.62027397260274,0.631170981714777,0.633501967397414,111.91032296349
"chr1","ENSG00000157873","+","mutex_exons_22",3,2560714,2561744,2561815,2561494,2561724,2562865,"chr1s+:g.2560714j2561744_2561815j2562865>2560714j2561494_2561724j2562865[splMUT]",12.2632529477417,0.999999578777883,100,108.8,220,237,266,366.2,423,0.839009287925697,0.87891296869625,0.90188679245283,0.928270042194093,0.936363636363636,0.967529190368248,0.973568281938326,65.977042402171
"chr1","ENSG00000157873","+","mutex_exons_23",8,2560714,2561777,2561815,2561494,2561724,2562865,"chr1s+:g.2560714j2561777_2561815j2562865>2560714j2561494_2561724j2562865[splMUT]",13.2164717716612,0.999999904804258,108,126.4,227,248,286,397.6,452,0.846607669616519,0.883607248209018,0.909090909090909,0.93469387755102,0.938325991189427,0.969172627885005,0.97489539748954,66.0083488019008
"chr1","ENSG00000116288","+","mutex_exons_24",1,7965425,7969345,7969375,7970894,7970963,7984894,"chr1s+:g.7965425j7969345_7969375j7984894>7965425j7970894_7970963j7984894[splMUT]",63.0015542138268,0.99999997415543,266,284.4,370,686,1095,1575.6,1758,0.968145620022753,0.969409634884399,0.975342465753425,0.985967503692762,0.992248062015504,0.997231833910035,1,57.0513028461981
"chr1","ENSG00000116288","+","mutex_exons_25",0,7965425,7969345,7969375,7970894,7970968,7984894,"chr1s+:g.7965425j7969345_7969375j7984894>7965425j7970894_7970968j7984894[splMUT]",79.9999408788075,0.660991772920151,266,284.4,367,681,1078,1561.6,1720,0.986440677966102,0.986645120072156,0.98953488372093,0.995381062355658,1,1,1,43.5332466040728
"chr1","ENSG00000116288","+","mutex_exons_26",0,7965425,7969345,7969375,7970894,7971000,7984894,"chr1s+:g.7965425j7969345_7969375j7984894>7965425j7970894_7971000j7984894[splMUT]",79.9998775088405,0.680776880378629,266,284.4,367,681,1078,1564.8,1720,0.986440677966102,0.986645120072156,0.98953488372093,0.99475753604194,1,1,1,43.9516534782458
"chr1","ENSG00000171608","+","mutex_exons_27",2,9691571,9693415,9693571,9710105,9710280,9710424,"chr1s+:g.9691571j9693415_9693571j9710424>9691571j9710105_9710280j9710424[splMUT]",0.999985151762705,3.70142120023218,0,0,0,2,3,6,6,0,0,0,0,0.5,0.725,1,12.2309729847142
"chr1","ENSG00000120948","+","mutex_exons_28",0,11013965,11015524,11015646,11016123,11016254,11016844,"chr1s+:g.11013965j11015524_11015646j11016844>11013965j11016123_11016254j11016844[splMUT]",1.36439788439604,0.590759844956565,1,1.8,4,7,17,24.6,27,0,0.233333333333333,0.518518518518518,0.75,1,1,1,32.4779249152052
"chr1","ENSG00000120942","+","mutex_exons_29",1,11274060,11285644,11285732,11293467,11293626,11294873,"chr1s+:g.11274060j11285644_11285732j11294873>11274060j11293467_11293626j11294873[splMUT]",33.6484916382915,0.955224167809902,10,10.8,15,26,52,92.6,95,0.636363636363636,0.892490118577075,0.96969696969697,1,1,1,1,23.1099568612045
"chr1","ENSG00000116731","+","mutex_exons_30",0,13749487,13750420,13750486,13754251,13754365,13773078,"chr1s+:g.13749487j13750420_13750486j13773078>13749487j13754251_13754365j13773078[splMUT]",1.0000000056189,0.0661851972731723,0,0,0,1,4,5.4,7,0,0.45,1,1,1,1,1,5.34785633965761
"chr1","ENSG00000116731","+","mutex_exons_31",0,13749487,13750420,13750486,13769039,13769173,13773078,"chr1s+:g.13749487j13750420_13750486j13773078>13749487j13769039_13769173j13773078[splMUT]",0.99997899185214,2.84456824164057,0,1.6,3,5,8,12,12,0,0,0,0.154761904761905,0.5,0.6375,0.8,24.9278844559858
"chr1","ENSG00000116731","+","mutex_exons_32",2,13749487,13769118,13769173,13750420,13750486,13773078,"chr1s+:g.13749487j13769118_13769173j13773078>13749487j13750420_13750486j13773078[splMUT]",4.28405007029915,0.931826960594883,0,3.2,6,7,10,17.4,19,0.333333333333333,0.524509803921569,0.696428571428571,0.891812865497076,1,1,1,26.3798902560906
"chr1","ENSG00000116731","+","mutex_exons_33",0,13749487,13754251,13754365,13769039,13769173,13773078,"chr1s+:g.13749487j13754251_13754365j13773078>13749487j13769039_13769173j13773078[splMUT]",0.0361178145316358,1.13205858507649,0,0.8,3,4,5,10,10,0,0,0,0,0,0.125,0.5,6.02536311482688
"chr1","ENSG00000116731","+","mutex_exons_34",0,13749487,13769118,13769173,13754251,13754365,13773078,"chr1s+:g.13749487j13769118_13769173j13773078>13749487j13754251_13754365j13773078[splMUT]",1.56002754213952,0.0342409678434058,0,1.6,5,6,9,14.6,17,0.642857142857143,0.910714285714286,1,1,1,1,1,6.22079862357337
"chr1","ENSG00000116731","+","mutex_exons_35",1,13750154,13769118,13769173,13750420,13750486,13773078,"chr1s+:g.13750154j13769118_13769173j13773078>13750154j13750420_13750486j13773078[splMUT]",3.02106935282537,0.999999620416784,0,1.6,3,5,8,12.2,13,0.2,0.396153846153846,0.541666666666667,0.845238095238095,1,1,1,24.5713870703755
"chr1","ENSG00000142621","+","mutex_exons_36",0,15313187,15316378,15316467,15324452,15324559,15327059,"chr1s+:g.15313187j15316378_15316467j15327059>15313187j15324452_15324559j15327059[splMUT]",1.39583729098825,0.77702545651546,0,0,0,1,3,7.4,9,0,0,0.333333333333333,0.75,1,1,1,13.3942218100546
"chr1","ENSG00000142621","+","mutex_exons_37",0,15382193,15383807,15383930,15383156,15383402,15388051,"chr1s+:g.15382193j15383807_15383930j15388051>15382193j15383156_15383402j15388051[splMUT]",1.988943396531,0.993896281293422,0,0,0,0,0,1,1,0,0.1,0.5,1,1,1,1,1.90954261654059
"chr1","ENSG00000142621","+","mutex_exons_38",0,15382193,15391210,15391263,15383159,15383280,15397297,"chr1s+:g.15382193j15391210_15391263j15397297>15382193j15383159_15383280j15397297[splMUT]",1.07590820055528,0.999895488042701,0,0,0,0,0,2.2,3,0,0.0666666666666667,0.333333333333333,0.666666666666667,0.833333333333333,0.966666666666667,1,3.17501839820443
"chr1","ENSG00000142621","+","mutex_exons_39",0,15388422,15391210,15391263,15393100,15393217,15397297,"chr1s+:g.15388422j15391210_15391263j15397297>15388422j15393100_15393217j15397297[splMUT]",4,1,0,0,0,0,0,0.599999999999998,3,1,1,1,1,1,1,1,NA
"chr1","ENSG00000197312","+","mutex_exons_40",0,15633565,15633798,15633879,15638307,15638434,15643522,"chr1s+:g.15633565j15633798_15633879j15643522>15633565j15638307_15638434j15643522[splMUT]",0.420540834606128,79.9999911886973,24,32,39,49,94,108,108,0,0,0,0,0,0.0185964912280702,0.0263157894736842,10.6072154605689
"chr1","ENSG00000055070","+","mutex_exons_41",0,16367308,16387055,16387125,16380016,16380093,16391375,"chr1s+:g.16367308j16387055_16387125j16391375>16367308j16380016_16380093j16391375[splMUT]",1.00000921515323,0.998160555974547,0,0,2,4,4,11.6,14,0,0,0.0535714285714286,0.416666666666667,1,1,1,22.7076391932992
"chr1","ENSG00000055070","+","mutex_exons_42",0,16367308,16380016,16380093,16387502,16387794,16391375,"chr1s+:g.16367308j16380016_16380093j16391375>16367308j16387502_16387794j16391375[splMUT]",15.3591628793128,0.999999939009006,0,0,0,1,2,9.8,13,0.846153846153846,0.863247863247863,1,1,1,1,1,4.62519146029793
"chr1","ENSG00000055070","+","mutex_exons_43",0,16367308,16390550,16390626,16380016,16380093,16391375,"chr1s+:g.16367308j16390550_16390626j16391375>16367308j16380016_16380093j16391375[splMUT]",0.432689285126155,1.00001741046593,0,0,0,2,4,8.8,12,0,0,0,0.0833333333333333,0.5,1,1,15.3993995138274
"chr1","ENSG00000055070","+","mutex_exons_44",0,16367308,16387055,16387125,16387502,16387794,16391375,"chr1s+:g.16367308j16387055_16387125j16391375>16367308j16387502_16387794j16391375[splMUT]",7.93241707089363,0.731774792403169,0,0,0,1,4,5,5,0.6,0.6675,1,1,1,1,1,6.1669953018427
"chr1","ENSG00000055070","+","mutex_exons_45",0,16367308,16387055,16387125,16390550,16390626,16391375,"chr1s+:g.16367308j16387055_16387125j16391375>16367308j16390550_16390626j16391375[splMUT]",2.1721998494065,0.881734598903735,0,0,0,2,4,5.8,9,0,0.166666666666667,0.472222222222222,0.75,1,1,1,14.8279133796862
"chr1","ENSG00000055070","+","mutex_exons_46",0,16367308,16390550,16390626,16387502,16387794,16391375,"chr1s+:g.16367308j16390550_16390626j16391375>16367308j16387502_16387794j16391375[splMUT]",1.00000041649466,0.247727962881756,0,0,0,0,2,3.4,5,0,0.1,0.666666666666667,1,1,1,1,5.66293853229786
"chr1","ENSG00000058453","+","mutex_exons_47",0,16914137,16930124,16930207,16924325,16924479,16930286,"chr1s+:g.16914137j16930124_16930207j16930286>16914137j16924325_16924479j16930286[splMUT]",9.36960030043147,0.866616795095626,0,0,1,3,6,12.8,16,0.666666666666667,0.720833333333333,1,1,1,1,1,10.798996594707
"chr1","ENSG00000040487","+","mutex_exons_48",2,19326623,19327227,19327412,19327571,19328053,19328572,"chr1s+:g.19326623j19327227_19327412j19328572>19326623j19327571_19328053j19328572[splMUT]",26.2593252300052,0.999999894198474,4,8,26,33,57,71,79,0.894736842105263,0.909382151029748,0.939393939393939,0.976744186046512,1,1,1,24.8934561647312
"chr1","ENSG00000127472","+","mutex_exons_49",0,20059692,20066024,20066129,20063484,20063602,20068873,"chr1s+:g.20059692j20066024_20066129j20068873>20059692j20063484_20063602j20068873[splMUT]",1,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"chr1","ENSG00000127472","+","mutex_exons_50",2,20070465,20076761,20076814,20070845,20070944,20084821,"chr1s+:g.20070465j20076761_20076814j20084821>20070465j20070845_20070944j20084821[splMUT]",2.94240161908572,0.999999528502873,0,0,0,0,1,6.2,7,0.333333333333333,0.416666666666667,0.75,0.857142857142857,1,1,1,6.3274707592476
"chr1","ENSG00000127472","+","mutex_exons_51",2,20070465,20070845,20070944,20076761,20076898,20084821,"chr1s+:g.20070465j20070845_20070944j20084821>20070465j20076761_20076898j20084821[splMUT]",0.99999977351572,2.74283380463752,0,0,0,0,1,7.4,13,0,0,0,0.0384615384615385,0.394230769230769,0.625,0.666666666666667,6.51306902267927
"chr1","ENSG00000127472","+","mutex_exons_52",0,20071115,20076761,20076814,20071489,20071635,20084821,"chr1s+:g.20071115j20076761_20076814j20084821>20071115j20071489_20071635j20084821[splMUT]",0.43768361462091,1.00000027199752,0,0,0,0,2,6.4,8,0,0,0,0,0.708333333333333,0.941666666666667,1,8.88005380190248
"chr1","ENSG00000127472","+","mutex_exons_53",0,20071115,20076761,20076898,20071489,20071635,20084821,"chr1s+:g.20071115j20076761_20076898j20084821>20071115j20071489_20071635j20084821[splMUT]",0.999998835386994,1.80209184720936,0,0,0,0,1,7.59999999999999,14,0,0,0,0,0.529761904761905,0.941666666666667,1,8.62363810907751
"chr1","ENSG00000142794","+","mutex_exons_54",1,21445219,21453373,21453430,21465716,21465817,21466087,"chr1s+:g.21445219j21453373_21453430j21466087>21445219j21465716_21465817j21466087[splMUT]",0.999999604516904,2.15335242033726,0,0,3,14,23,32.2,37,0,0,0.172768878718535,0.332417582417582,0.425595238095238,0.771621621621622,1,34.568685686632
"chr1","ENSG00000142794","+","mutex_exons_55",5,21445219,21453373,21453430,21465735,21465817,21466087,"chr1s+:g.21445219j21453373_21453430j21466087>21445219j21465735_21465817j21466087[splMUT]",0.999999761203915,3.44686254934985,0,0,6,20,29,45.6,52,0,0,0.129772727272727,0.229166666666667,0.367456896551724,0.475,0.5,35.6470259996578
"chr1","ENSG00000142794","+","mutex_exons_56",1,21445219,21453373,21453430,21465739,21465817,21466087,"chr1s+:g.21445219j21453373_21453430j21466087>21445219j21465739_21465817j21466087[splMUT]",0.999999858152977,2.20217316965761,0,0,3,14,22,32.8,40,0,0,0.172768878718535,0.326719576719577,0.440909090909091,0.74,1,34.5246933670409
"chr1","ENSG00000142676","+","mutex_exons_57",0,23693913,23695772,23695908,23694660,23694857,23696344,"chr1s+:g.23693913j23695772_23695908j23696344>23693913j23694660_23694857j23696344[splMUT]",0.99999972370865,2.58480601956881,2653,2840.2,3473,5755,12950,16519.2,16820,0.269916765755054,0.279854947740456,0.297109639916034,0.324558365084863,0.337876802096986,0.355153166514334,0.376595082477435,143.716231279069
"chr1","ENSG00000117640","+","mutex_exons_58",11,25823128,25823238,25823323,25823346,25823439,25823644,"chr1s+:g.25823128j25823238_25823323j25823644>25823128j25823346_25823439j25823644[splMUT]",3.82348318068343,0.999999894488936,5,8.2,14,32,37,51,75,0.571428571428571,0.582578397212543,0.733333333333333,0.78125,0.84375,0.929411764705882,1,45.3925681560033
"chr1","ENSG00000236155","+","mutex_exons_59",0,26225703,26226586,26226616,26227404,26227555,26227794,"chr1s+:g.26225703j26226586_26226616j26227794>26225703j26227404_26227555j26227794[splMUT]",0.999999993122283,11.4582706789683,0,0,0,1,3,6.4,12,0,0,0,0,0,0.266666666666667,0.333333333333333,5.06135074176029
"chr1","ENSG00000009780","+","mutex_exons_60",0,27727536,27727829,27727866,27730232,27730333,27732603,"chr1s+:g.27727536j27727829_27727866j27732603>27727536j27730232_27730333j27732603[splMUT]",0.12640205535377,1.00000075947262,0,0,0,0,2,5.39999999999999,15,0,0,0,0,0,0.699999999999999,1,5.82658006356574
"chr1","ENSG00000130775","+","mutex_exons_61",0,27872665,27876588,27876728,27882513,27883043,27885295,"chr1s+:g.27872665j27876588_27876728j27885295>27872665j27882513_27883043j27885295[splMUT]",1.39755183633351,0.999999461285065,19,20.6,33,57,72,190.8,334,0.25,0.258695652173913,0.333333333333333,0.575757575757576,0.67741935483871,0.816040100250627,0.842105263157895,67.3672073640104
"chr1","ENSG00000130775","+","mutex_exons_62",0,27872665,27876588,27876733,27882513,27883043,27885295,"chr1s+:g.27872665j27876588_27876733j27885295>27872665j27882513_27883043j27885295[splMUT]",1.30355791650407,0.999999757309229,19,19.8,32,55,67,186.6,317,0.236363636363636,0.240821114369501,0.315789473684211,0.5625,0.672413793103448,0.808421052631579,0.842105263157895,67.0012745795116
"chr1","ENSG00000130775","+","mutex_exons_63",0,27876728,27882513,27882785,27879644,27880054,27885295,"chr1s+:g.27876728j27882513_27882785j27885295>27876728j27879644_27880054j27885295[splMUT]",0.426703438459409,79.9998983635103,7,7.8,16,19,29,60.8,104,0,0,0,0,0,0.0156923076923077,0.04,5.69883320052738
"chr1","ENSG00000130775","+","mutex_exons_64",0,27876728,27879949,27880054,27882513,27882785,27885295,"chr1s+:g.27876728j27879949_27880054j27885295>27876728j27882513_27882785j27885295[splMUT]",14.012476626445,0.999999626344994,0,0,0,1,2,5.59999999999999,12,0,0.458333333333333,1,1,1,1,1,5.17917994081761
"chr1","ENSG00000158156","+","mutex_exons_65",2,27963693,27964185,27964235,27965351,27965458,27966503,"chr1s+:g.27963693j27964185_27964235j27966503>27963693j27965351_27965458j27966503[splMUT]",0.999734510944167,1.00000000715117,0,0,2,5,7,12.2,13,0,0,0,0.538461538461538,0.788888888888889,1,1,26.5958168931618
"chr1","ENSG00000204138","+","mutex_exons_66",7,28407463,28432931,28433046,28438273,28438430,28459085,"chr1s+:g.28407463j28432931_28433046j28459085>28407463j28438273_28438430j28459085[splMUT]",1.16060046470117,0.99999991505999,1,1,7,10,12,16,16,0.1,0.197777777777778,0.285714285714286,0.333333333333333,0.8,1,1,36.7537963719859
"chr1","ENSG00000204138","+","mutex_exons_67",6,28407463,28457832,28457855,28432931,28433046,28459085,"chr1s+:g.28407463j28457832_28457855j28459085>28407463j28432931_28433046j28459085[splMUT]",1.95385398778754,0.999997783773829,1,1.8,7,17,24,39.4,57,0,0,0.466666666666667,0.764705882352941,0.857142857142857,0.919298245614035,0.929824561403509,42.246912667964
"chr1","ENSG00000204138","+","mutex_exons_68",11,28407463,28457832,28457855,28438273,28438430,28459085,"chr1s+:g.28407463j28457832_28457855j28459085>28407463j28438273_28438430j28459085[splMUT]",2.24810235758701,0.999999801858024,0,0.8,4,19,26,43.8,63,0,0.375,0.609100877192982,0.740384615384615,0.823717948717949,1,1,39.7322410132963
"chr1","ENSG00000204138","+","mutex_exons_69",11,28407463,28457832,28457859,28438273,28438430,28459085,"chr1s+:g.28407463j28457832_28457859j28459085>28407463j28438273_28438430j28459085[splMUT]",2.03077024064362,0.999999974119675,0,0.8,4,16,21,31.2,44,0,0.075,0.600093984962406,0.681159420289855,0.76461038961039,1,1,38.1959145728883
"chr1","ENSG00000159023","+","mutex_exons_70",4,29065158,29068733,29068768,29096155,29096565,29097807,"chr1s+:g.29065158j29068733_29068768j29097807>29065158j29096155_29096565j29097807[splMUT]",0.999947212695057,6.72670493681809,7,9.4,20,27,69,107,111,0,0,0.0476190476190476,0.0769230769230769,0.2,0.334013605442177,0.336734693877551,43.0042169753402
"chr1","ENSG00000159023","+","mutex_exons_71",6,29065158,29068733,29068768,29096155,29096604,29097807,"chr1s+:g.29065158j29068733_29068768j29097807>29065158j29096155_29096604j29097807[splMUT]",0.887580756728161,10.17197316818,12,20,25,50,108,194.6,205,0,0,0.0263157894736842,0.0410958904109589,0.08,0.231111111111111,0.266666666666667,44.3573048204741
"chr1","ENSG00000159023","+","mutex_exons_72",7,29065158,29068733,29068783,29096155,29096565,29097807,"chr1s+:g.29065158j29068733_29068783j29097807>29065158j29096155_29096565j29097807[splMUT]",0.992397352613504,6.00334311125041,7,8.6,16,29,72,105.4,111,0,0,0.0476190476190476,0.116279069767442,0.1875,0.357936507936508,0.361111111111111,44.6615430132416
"chr1","ENSG00000159023","+","mutex_exons_73",8,29065158,29068733,29068783,29096155,29096604,29097807,"chr1s+:g.29065158j29068733_29068783j29097807>29065158j29096155_29096604j29097807[splMUT]",0.897673280202606,9.28946672964472,12,20.8,26,50,111,194.2,203,0,0,0.0246305418719212,0.0659340659340659,0.111111111111111,0.249887387387387,0.3125,45.9130759761417
"chr1","ENSG00000159023","+","mutex_exons_74",0,29068768,29083995,29084122,29070391,29072791,29097807,"chr1s+:g.29068768j29083995_29084122j29097807>29068768j29070391_29072791j29097807[splMUT]",0.223194576229014,1.00000053742001,0,0,0,0,0,2.2,3,0,0,0,0,0.25,0.85,1,2.58893183580578
"chr1","ENSG00000186056","+","mutex_exons_75",0,30719232,30719400,30719565,30720977,30721174,30721288,"chr1s+:g.30719232j30719400_30719565j30721288>30719232j30720977_30721174j30721288[splMUT]",10.8173718753471,0.999978992474556,0,0,0,0,1,3,3,0.666666666666667,0.75,1,1,1,1,1,2.37663804844758
"chr1","ENSG00000084623","+","mutex_exons_76",9,32224475,32226171,32226283,32226403,32226530,32228499,"chr1s+:g.32224475j32226171_32226283j32228499>32224475j32226403_32226530j32228499[splMUT]",1.44863913675817,0.999997398862613,324,336.8,490,942,2074,2727.6,2878,0.457671957671958,0.469434944020579,0.485130111524164,0.495133819951338,0.523166023166023,0.538822318188382,0.54725168756027,115.611297578807
"chr1","ENSG00000116497","+","mutex_exons_77",0,32817689,32820547,32820599,32818525,32818872,32825313,"chr1s+:g.32817689j32820547_32820599j32825313>32817689j32818525_32818872j32825313[splMUT]",0.685798739433265,1.00022167391313,0,0,0,0,1,4.6,7,0,0,0,0.25,1,1,1,9.03523223020507
"chr1","ENSG00000134698","+","mutex_exons_78",11,35825494,35825605,35825678,35825679,35825815,35825926,"chr1s+:g.35825494j35825605_35825678j35825926>35825494j35825679_35825815j35825926[splMUT]",0.999999590249031,11.3552697327524,9,13.8,31,40,73,114.8,118,0,0,0.024390243902439,0.075,0.0810810810810811,0.284444444444444,0.533333333333333,41.7210268873583
