,confirmed,contig,event_id,event_jid,gene,strand,brain_3b_TSMRU_V102.star,brain_3c_TSMRU_V103.star,brain_a_TSMRU_V29.star,ovary_6a_TSMRU_V233.star,ovary_6b_TSMRU_V234.star,ovary_8a_TSMRU_ovary_8a.star,smallintestine_4a_TSMRU_V151.star,smallintestine_4b_TSMRU_V152.star,smallintestine_4c_TSMRU_V153.star,smallintestine_4d_TSMRU_V156.star,tonsil_8a1_TSMRU_tonsil_8a1.star,tonsil_8b1_TSMRU_tonsil_8b1.star,tonsil_8e1_TSMRU_tonsil_8e1.star
653,3,chr1,mutex_exons_654,chr1s-:g.20981227j20982388_20982408j21002713>20981227j21001199_21001312j21002713[splMUT],ENSG00000075151,-,5.60507992843216,13.7394359322379,12.3969241101765,0.0,0.0,0.0,1.69295585528016,0.32620389815152195,0.8610268573770891,0.45774285273109994,1.57676348621133,0.293560481611035,0.259052430909034
654,3,chr1,mutex_exons_655,chr1s-:g.20981227j20982388_20982408j21002713>20981227j21001199_21001324j21002713[splMUT],ENSG00000075151,-,7.38142831166896,20.600428174989702,15.511904819735598,0.0,0.0,0.0,1.1210059807683201,0.346131817342945,1.01675271792823,0.6033603810168989,1.29675942606352,0.332101468816511,0.258835698599293
779,2,chr1,mutex_exons_780,chr1s-:g.111137586j111139501_111139573j111140038>111137586j111139588_111139711j111140038[splMUT],ENSG00000156171,-,-4.35563693128256,-1.2659353124002,-0.9438354515653579,-1.13947463788845,-1.03902978691644,-0.828203344182108,-0.47692447767497204,-1.7762102987074098,-1.45916397693044,-1.36473862987629,-1.52662509477305,-13.8053853655248,-0.9124862168467621
780,2,chr1,mutex_exons_781,chr1s-:g.111137586j111139501_111139573j111140038>111137586j111139588_111139714j111140038[splMUT],ENSG00000156171,-,-4.93965648244989,0.0,-0.718242608793775,-0.8069575982790691,0.0,-0.584440050239518,0.0,-2.08777733142652,-0.418619356516165,-2.15747897031579,-2.9090046914402503,-25.211096268425102,-0.881684795450074
787,0,chr1,mutex_exons_788,chr1s-:g.113738799j113749506_113749586j113757699>113738799j113742948_113743079j113757699[splMUT],ENSG00000116793,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.73105314400717,-2.0281482472923704,-11.865871760248,0.0
798,0,chr1,mutex_exons_799,chr1s-:g.145171185j145186763_145186802j145215639>145171185j145214677_145214731j145215639[splMUT],ENSG00000272419,-,0.0,13.1151112393433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007,0,chr10,mutex_exons_1008,chr10s+:g.29415412j29478474_29478524j29482833>29415412j29458274_29458520j29482833[splMUT],ENSG00000224597,+,1.52934105497796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.741662034004049,10.3429727355272,0.0,0.0,0.0
1026,0,chr10,mutex_exons_1027,chr10s+:g.45988847j46000062_46000181j46003203>45988847j46002361_46002484j46003203[splMUT],ENSG00000265354,+,-7.85987748224694,-2.6624438224007902,0.0,0.0,0.0,0.0,0.0,0.0,-10.329011635690401,-9.1590475106336,-0.47372606512527704,0.0,0.0
1029,19,chr10,mutex_exons_1030,chr10s+:g.48420320j48424088_48424159j48425888>48420320j48424514_48424585j48425888[splMUT],ENSG00000107643,+,14.7881437395507,33.465502587431395,29.1708530092986,0.287687491180938,0.37228698761206297,0.516098657193831,0.30954908176924606,1.4429325010363,1.09264288778881,1.6279676552710802,0.7657416040627429,0.9492218135293621,1.03969695987924
1049,2,chr10,mutex_exons_1050,chr10s+:g.78037304j78037439_78037441j78040204>78037304j78037965_78037993j78040204[splMUT],ENSG00000138326,+,-25.8052918487325,-40.059316451029794,-30.298733806277102,-0.44846998167373003,-1.1839408858891,-0.783351722703975,-0.879910536587155,-8.506411964008809,-4.86924327144997,-1.09710286360474,-0.576935400256765,-0.429023721661762,-0.46321099289894296
1073,0,chr10,mutex_exons_1074,chr10s+:g.102714681j102716234_102716329j102726612>102714681j102715223_102715328j102726612[splMUT],ENSG00000156398,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1115141326957,0.0,0.0,0.0,0.0
1076,0,chr10,mutex_exons_1077,chr10s+:g.102714681j102716234_102716329j102726612>102714681j102716589_102716711j102726612[splMUT],ENSG00000156398,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3460773379667,0.0,0.0,0.0,0.0
1077,0,chr10,mutex_exons_1078,chr10s+:g.102714681j102724936_102724996j102726612>102714681j102716234_102716329j102726612[splMUT],ENSG00000156398,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.3095729132525,0.0,0.0,0.0,0.0
1084,0,chr10,mutex_exons_1085,chr10s+:g.110130486j110131770_110131783j110133326>110130486j110132305_110132499j110133326[splMUT],ENSG00000148700,+,15.3147184066628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,0,chr10,mutex_exons_1086,chr10s+:g.110130486j110131770_110131783j110133326>110130486j110132305_110132744j110133326[splMUT],ENSG00000148700,+,15.315515273325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1137,2,chr10,mutex_exons_1138,chr10s-:g.26751783j26763880_26763960j26765218>26751783j26759086_26759235j26765218[splMUT],ENSG00000136754,-,14.8707386074449,14.945662371240802,15.7148327675575,0.0,0.0,0.0,2.18221286296065,0.0,0.0,0.0,1.54269891161855,0.0,1.1722610211493898
1207,1,chr10,mutex_exons_1208,chr10s-:g.95410777j95414494_95414655j95421961>95410777j95415469_95415785j95421961[splMUT],ENSG00000095637,-,-13.1266940921701,-1.34887921115372,0.0,0.0,0.0,-2.2596604146109502,-0.681764736676403,0.0,0.0,-0.8286036317774279,0.0,0.0,0.0
1208,0,chr10,mutex_exons_1209,chr10s-:g.95410777j95414494_95414655j95421961>95410777j95415469_95416149j95421961[splMUT],ENSG00000095637,-,-10.4121612694805,-1.23281960241908,0.0,0.0,0.0,-2.358607333832,-0.6673656196477149,0.0,0.0,-0.798116936686221,0.0,0.0,0.0
1228,0,chr10,mutex_exons_1229,chr10s-:g.99612599j99613158_99613269j99620533>99612599j99613738_99613924j99620533[splMUT],ENSG00000155287,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-31.0768325175792,0.0,-2.48490664978804,0.0,-2.48490664978804
1317,0,chr11,mutex_exons_1318,chr11s+:g.4023987j4047914_4047961j4055526>4023987j4049514_4049608j4055526[splMUT],ENSG00000167323,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.367976001093698,0.0
1343,0,chr11,mutex_exons_1344,chr11s+:g.33328633j33333705_33333723j33337075>33328633j33335658_33335766j33337075[splMUT],ENSG00000110422,+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.857055133679399,0.0,0.0,0.0
1398,0,chr11,mutex_exons_1399,chr11s+:g.59793514j59795372_59795482j59800778>59793514j59795602_59795712j59800778[splMUT],ENSG00000166900,+,-6.5799432735960695,-25.3910658248455,-4.5704901150259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.42615592014304,0.0
1399,3,chr11,mutex_exons_1400,chr11s+:g.59793514j59795372_59795482j59800855>59793514j59795602_59795712j59800855[splMUT],ENSG00000166900,+,-8.227228951220459,-26.644071562247,-12.9998026903228,-1.30507255690035,0.0,0.0,0.0,0.0,-2.78945984332739,0.0,0.0,-1.6789921046897802,0.0
1400,0,chr11,mutex_exons_1401,chr11s+:g.59793514j59795372_59795482j59803218>59793514j59795602_59795712j59803218[splMUT],ENSG00000166900,+,-5.632600877943441,-22.8808128985088,-4.00231846144322,0.0,0.0,0.0,0.0,0.0,-1.64112115922568,0.0,0.0,-1.8887719627868997,0.0
1402,0,chr11,mutex_exons_1403,chr11s+:g.59793514j59795602_59795712j59800778>59793514j59797283_59797396j59800778[splMUT],ENSG00000166900,+,5.39399818721969,12.847497366413199,3.14621004249054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50732509103851,0.0
1403,2,chr11,mutex_exons_1404,chr11s+:g.59793514j59795602_59795712j59800855>59793514j59797283_59797396j59800855[splMUT],ENSG00000166900,+,11.6589641905019,34.954895309273,14.971220248895198,1.6352774731964197,0.0,0.0,0.0,0.0,3.3910283844092,0.0,0.0,1.9925748779398,0.0
1678,0,chr11,mutex_exons_1679,chr11s-:g.6396215j6398693_6398749j6400989>6396215j6397692_6397805j6400989[splMUT],ENSG00000166313,-,33.1067487990362,17.2493676387763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1679,1,chr11,mutex_exons_1680,chr11s-:g.6396215j6398693_6398749j6400989>6396215j6397692_6397808j6400989[splMUT],ENSG00000166313,-,31.4031276485753,14.8341213881082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1893,0,chr12,mutex_exons_1894,chr12s+:g.1691213j1702886_1702982j1754258>1691213j1724716_1724835j1754258[splMUT],ENSG00000006831,+,-21.148563112522602,-10.6061326664035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1898,2,chr12,mutex_exons_1899,chr12s+:g.2493386j2504436_2504539j2512812>2493386j2504842_2504945j2512812[splMUT],ENSG00000151067,+,10.7868552198963,71.26550422569221,37.771765858626296,0.0,0.0,0.0,0.0,0.0,2.4888717366935698,0.0,0.0,0.0,0.0
1945,0,chr12,mutex_exons_1946,chr12s+:g.25195337j25203725_25203747j25203920>25195337j25198475_25198711j25203920[splMUT],ENSG00000205707,+,0.0,0.0,-1.8718021769015902,0.0,0.0,0.0,0.0,0.0,-11.098091606858,0.0,0.0,0.0,-11.098091606858
1946,0,chr12,mutex_exons_1947,chr12s+:g.25195337j25203725_25203823j25203920>25195337j25198475_25198711j25203920[splMUT],ENSG00000205707,+,0.0,0.0,-1.8718021769015902,0.0,0.0,0.0,0.0,0.0,-11.098091606858,0.0,0.0,0.0,-11.098091606858
1947,0,chr12,mutex_exons_1948,chr12s+:g.25195337j25203725_25203832j25203920>25195337j25198475_25198711j25203920[splMUT],ENSG00000205707,+,0.0,0.0,-1.63575522075147,0.0,0.0,0.0,0.0,0.0,-13.4880059913253,0.0,0.0,0.0,-11.9401259718906
2001,1,chr12,mutex_exons_2002,chr12s+:g.51774362j51780202_51780271j51786542>51774362j51780649_51780771j51786542[splMUT],ENSG00000196876,+,-27.9991793253857,-53.043038399066106,-48.4269015105618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2173,5,chr12,mutex_exons_2174,chr12s+:g.95296258j95298862_95298943j95300165>95296258j95299094_95299419j95300165[splMUT],ENSG00000028203,+,-5.50299389925826,-10.6202494923998,-9.71272151657889,0.0,-1.1281292911600902,-1.99864850608661,-0.45750104797276103,-1.08497178114096,-2.6602456575629603,-1.01042511668274,0.0,-0.196836669892046,-0.903084045353193
2435,0,chr12,mutex_exons_2436,chr12s-:g.124911822j124912051_124912055j124913419>124911822j124912637_124912734j124913419[splMUT],ENSG00000150991,-,-1.6078741302719,-1.01305374030467,-0.49841640800442605,-0.590588605218818,-1.3898873498844702,-1.29541587333652,-1.8698539171551698,-1.63891952156294,-10.1355327349092,-1.3681261483219702,-0.9163677540523248,-2.39824167385969,-1.3842534138688098
2736,0,chr14,mutex_exons_2737,chr14s+:g.21102192j21102457_21102515j21103139>21102192j21102682_21102779j21103139[splMUT],ENSG00000232070,+,0.0,0.0,0.0,0.65937780538334,1.3164661767936001,1.72265678649023,0.6712409661705511,0.0,0.0,0.0,0.0,0.0,12.3156761297199
2837,0,chr14,mutex_exons_2838,chr14s+:g.76176690j76177892_76177931j76178208>76176690j76177988_76178042j76178208[splMUT],ENSG00000089916,+,3.68982994005386,13.3421778716009,10.2243911200825,0.0,0.0,0.968771909403797,0.0,2.55609876252462,0.9063305827428121,3.28982732502723,2.64652789335166,4.137811382725539,1.41998249975512
2838,10,chr14,mutex_exons_2839,chr14s+:g.76176690j76177892_76177931j76180764>76176690j76177988_76178042j76180764[splMUT],ENSG00000089916,+,4.24176240474595,14.9924002113462,14.106825249858,0.0,0.0,1.75166685793087,0.0,1.3601531264425901,1.5456989743502,3.26889742425392,3.0833783875037004,3.0950437558421804,2.6348544962032796
2887,0,chr14,mutex_exons_2888,chr14s+:g.100831094j100835739_100835879j100836167>100831094j100831421_100834751j100836167[splMUT],ENSG00000214548,+,-15.499742192463401,-32.7033981610535,-11.4940933518254,0.0,0.0,-0.5772135185535799,0.0,-0.32265677650706603,-0.165656923401368,-0.40658784174842105,0.0,-3.57298415245584,0.0
2892,3,chr14,mutex_exons_2893,chr14s+:g.100831534j100835739_100835879j100836167>100831534j100832512_100834751j100836167[splMUT],ENSG00000214548,+,-10.0441283628415,-18.4619643906124,-7.08385137598912,-0.7781025204314279,0.0,-0.226286973892072,0.0,-0.28608079169341,-0.35614426027131996,-0.7354706058201859,-4.6471411278748604,-2.63553001506515,0.0
2894,0,chr14,mutex_exons_2895,chr14s+:g.100831534j100835736_100835879j100836167>100831534j100834632_100835549j100836167[splMUT],ENSG00000214548,+,-42.399074280094105,-57.5201193573134,-20.6674291122385,0.0,0.0,0.0,-3.11088623915374,0.0,-1.45289525253738,-1.17987271655168,0.0,0.0,0.0
3169,0,chr15,mutex_exons_3170,chr15s+:g.74995673j75009891_75009940j75011792>74995673j74997234_74997316j75011792[splMUT],ENSG00000198794,+,0.0,-3.0424844234937103,-10.362744126103099,0.0,0.0,0.0,-3.0424844234937103,0.0,0.0,0.0,0.0,0.0,0.0
3184,0,chr15,mutex_exons_3185,chr15s+:g.85117839j85120474_85120583j85123061>85117839j85120782_85121014j85123061[splMUT],ENSG00000073417,+,4.924698862839191,0.8792448285872572,12.0772608488811,1.29538038740879,0.0,1.63985699671578,0.844232909822597,1.2762717764140201,5.30735180412766,5.23853435414945,2.81498313005938,0.0,0.0
3185,0,chr15,mutex_exons_3186,chr15s+:g.85117839j85120474_85120583j85123061>85117839j85120807_85121014j85123061[splMUT],ENSG00000073417,+,4.65897136252804,0.8797288263955491,12.0830501891921,1.29598129669739,0.0,1.6407830696001202,0.8447046694070491,1.27705253019619,5.31075977336585,5.11326306590736,2.8164942912604203,0.0,0.0
3280,25,chr15,mutex_exons_3281,chr15s-:g.72200655j72202454_72202620j72206728>72200655j72203022_72203188j72206728[splMUT],ENSG00000067225,-,-6.65078810223055,-15.429730453480802,-15.4430897145361,-0.5249317549959279,-0.618262147625023,-0.708227774865417,-0.9527858564469871,-2.45390059269495,-2.3383640975388698,-3.8235461211248203,-1.0154473958291,-1.0874047715241701,-1.14029800369232
3509,0,chr16,mutex_exons_3510,chr16s-:g.14586361j14588098_14588172j14593301>14586361j14591913_14592033j14593301[splMUT],ENSG00000140694,-,3.5837001650402898,11.243219692207902,4.46401309624882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3598,0,chr16,mutex_exons_3599,chr16s-:g.64948099j64950631_64950685j64950767>64948099j64948609_64948787j64950767[splMUT],ENSG00000140937,-,13.6773076995858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3703,0,chr17,mutex_exons_3704,chr17s+:g.7307115j7307592_7307752j7311018>7307115j7309615_7310236j7311018[splMUT],ENSG00000132507,+,0.0,5.22785282444968,14.9632876745432,0.0,0.0,0.0,0.0,0.0,2.71179152027117,1.59629835220689,0.0,0.0,0.0
3704,0,chr17,mutex_exons_3705,chr17s+:g.7307409j7307592_7307752j7311018>7307409j7309615_7310236j7311018[splMUT],ENSG00000132507,+,0.0,6.52209279817016,18.1665464005884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3756,0,chr17,mutex_exons_3757,chr17s+:g.36074848j36075283_36075375j36089546>36074848j36076710_36076802j36089546[splMUT],ENSG00000277089,+,4.02535169073515,10.3370864998881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3988,0,chr17,mutex_exons_3989,chr17s-:g.76089320j76091143_76091272j76094414>76089320j76090329_76090459j76094414[splMUT],ENSG00000182473,-,31.940023200847897,28.351646386078702,32.688269855281895,0.6926146642703791,0.27025341626862104,1.4535427518437498,0.264162758216767,7.846110846610039,14.5549760335728,12.823656485239699,2.8370572884141,2.63456995684611,2.06763817137745
4164,4,chr19,mutex_exons_4165,chr19s+:g.10795439j10796061_10796199j10798486>10795439j10797380_10797955j10798486[splMUT],ENSG00000079805,+,-18.382289758163303,-13.8514546873611,-12.8829783375374,-2.28638324807797,-1.4024616002509698,-0.688403156516021,-1.3649235026918602,-2.77987239315549,-4.34619024483846,-3.57140081944979,-2.5372133962134997,-2.2340834929143303,-1.47331820299728
4175,1,chr19,mutex_exons_4176,chr19s+:g.15641613j15643907_15644051j15647052>15641613j15645719_15645863j15647052[splMUT],ENSG00000186529,+,-7.07802314187801,-13.4537723744134,-19.5708521029922,-1.3481099852467,0.0,-1.9683392761090701,0.0,0.0,0.0,0.0,0.0,0.0,-3.26547162509485
4218,3,chr19,mutex_exons_4219,chr19s+:g.35329230j35337755_35338021j35340881>35329230j35332019_35332924j35340881[splMUT],ENSG00000012124,+,5.34115842873922,12.4822147110721,8.59821006689399,0.0,0.0,1.5379319191417,0.0,4.15465265608774,5.09536945805295,6.125967069314919,1.18171011752607,2.0459670163736696,0.881287775227354
4458,12,chr19,mutex_exons_4459,chr19s-:g.49663514j49664674_49664846j49665631>49663514j49664443_49664673j49665631[splMUT],ENSG00000126456,-,-8.04576472997648,-3.95597721228396,-11.9028041031154,-1.0842125862765,-0.4783770878285611,-0.151653666416389,-0.0901062710482326,-0.76546699726768,-0.77996439859134,-1.33453055502836,-1.33930352260378,-2.18853536274778,-0.6636856106205551
4459,7,chr19,mutex_exons_4460,chr19s-:g.49663514j49664674_49664846j49665635>49663514j49664443_49664673j49665635[splMUT],ENSG00000126456,-,-9.03879636865466,-4.71298748435589,-14.2366372832612,-0.859509593850351,-0.6500611685683821,-0.17050532742832,-0.132561382228336,-0.86712713301592,-0.654153061626114,-1.68626901680718,-1.17387660883845,-2.4664403261847903,-0.5840409606541539
4460,3,chr19,mutex_exons_4461,chr19s-:g.49663514j49664674_49664846j49665672>49663514j49664443_49664673j49665672[splMUT],ENSG00000126456,-,-8.87932907199149,-5.33052981979554,-13.4527389505798,-0.9561679163766981,-0.882625969486978,-0.28570952476149,-0.140296334616062,-0.7893371264339509,-0.673017029239228,-1.5310010562820802,-1.15880683420793,-2.58759776718456,-0.627867802985126
4461,1,chr19,mutex_exons_4462,chr19s-:g.49663514j49664674_49664901j49665631>49663514j49664443_49664673j49665631[splMUT],ENSG00000126456,-,-6.44387908302549,-3.72416327793557,-10.614901227456599,-0.8763547367449019,-0.426587637474164,-0.12858794461285,-0.0986616897127588,-0.69968759421506,-0.655541587193229,-1.0766667168218,-1.05573605082167,-1.78049501288216,-0.550931814372132
4462,0,chr19,mutex_exons_4463,chr19s-:g.49663514j49664674_49664901j49665635>49663514j49664443_49664673j49665635[splMUT],ENSG00000126456,-,-7.5891980935878305,-4.39711521085074,-12.244746388492699,-0.8236328863126241,-0.591545998753942,-0.158224612684422,-0.117562828661491,-0.7758720034238321,-0.583169698838828,-1.4536131535995302,-0.9802765719496409,-2.13023524742582,-0.5407182067133
4463,0,chr19,mutex_exons_4464,chr19s-:g.49663514j49664443_49664673j49665635>49663514j49664674_49664950j49665635[splMUT],ENSG00000126456,-,7.5969100617114105,4.15764131925637,12.2555449326804,0.8245330704982221,0.5922030159154549,0.15840062928117302,0.11769114089647399,0.776742419486678,0.583827578887491,1.45522347145401,0.97400820486017,2.13262398844351,0.541331630150086
4720,3,chr2,mutex_exons_4721,chr2s+:g.109995714j109995915_109995954j109996035>109995714j109995755_109995914j109996035[splMUT],ENSG00000204588,+,11.3597730507542,0.39023173178769105,1.0644654470043198,0.485940424653491,0.47936198196498403,1.00305273708433,2.86738623054587,0.0,0.0,3.09658918874973,3.09658918874973,0.0,3.09658918874973
4745,4,chr2,mutex_exons_4746,chr2s+:g.112089718j112091712_112091783j112097044>112089718j112095228_112095299j112097044[splMUT],ENSG00000153214,+,-24.517391064685,-11.7246204112238,-21.9819448877525,-0.40546510758169396,-0.6468658274988629,-0.30656103364660997,-0.730361191719196,-1.2364526166771002,0.0,-4.33527787169782,-0.510825623119244,-1.84514457430197,-0.33085424388310103
4746,0,chr2,mutex_exons_4747,chr2s+:g.112089718j112091712_112091783j112097055>112089718j112095228_112095299j112097055[splMUT],ENSG00000153214,+,-15.554650306200301,-8.47493199158867,-15.9413740388344,0.0,-0.587812582355194,-0.6075759702108929,0.0,-1.13323481717058,0.0,-2.8903907484876297,-1.0329917443221999,-2.3555799715922703,0.0
5015,1,chr2,mutex_exons_5016,chr2s+:g.241809274j241809782_241809925j241814482>241809274j241813333_241813513j241814482[splMUT],ENSG00000204099,+,-13.8454356181686,0.0,0.0,0.0,-2.36108185718115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
