,confirmed,contig,event_id,event_jid,gene,test_total_out,PSI_higher,PSI_lower,strand,test_high_counts,test_low_counts,test_median_score,test_mean_score,test_abs_max_score,event_type
72,8,chr1,mutex_exons_73,chr1s+:g.29065158j29068733_29068783j29097807>29065158j29096155_29096604j29097807[splMUT],ENSG00000159023,3.0,test,Ref,+,3,0,2.4290752488775897,4.342548228954954,13.6115195073688,mutex_exons
1678,0,chr11,mutex_exons_1679,chr11s-:g.6396215j6398693_6398749j6400989>6396215j6397692_6397805j6400989[splMUT],ENSG00000166313,2.0,test,Ref,-,2,0,0.0,3.8735474182932688,33.1067487990362,mutex_exons
1679,1,chr11,mutex_exons_1680,chr11s-:g.6396215j6398693_6398749j6400989>6396215j6397692_6397808j6400989[splMUT],ENSG00000166313,2.0,test,Ref,-,2,0,0.0,3.5567114643602693,31.4031276485753,mutex_exons
6160,0,chr3,mutex_exons_6161,chr3s-:g.9028130j9035503_9035589j9038063>9028130j9032650_9032752j9038063[splMUT],ENSG00000196220,2.0,test,Ref,-,2,0,0.0,4.782924920146489,30.0214257180296,mutex_exons
6764,2,chr5,mutex_exons_6765,chr5s+:g.153770415j153795476_153795590j153802356>153770415j153794621_153794745j153802356[splMUT],ENSG00000155511,2.0,Ref,test,+,0,2,0.0,-4.4155225875866755,28.0567482186025,mutex_exons
1399,3,chr11,mutex_exons_1400,chr11s+:g.59793514j59795372_59795482j59800855>59793514j59795602_59795712j59800855[splMUT],ENSG00000166900,2.0,Ref,test,+,0,2,0.0,-4.126509823746753,26.644071562247,mutex_exons
157,0,chr1,mutex_exons_158,chr1s+:g.81987029j81987869_81987920j81990391>81987029j81987289_81987341j81990391[splMUT],ENSG00000117114,2.0,test,Ref,+,2,0,0.0,3.864568613613903,26.3526052151292,mutex_exons
8023,1,chr9,mutex_exons_8024,chr9s+:g.88388538j88402012_88402135j88426382>88388538j88418778_88418951j88426382[splMUT],ENSG00000106723,2.0,test,Ref,+,2,0,0.0,4.341097948810053,22.568371273786504,mutex_exons
1893,0,chr12,mutex_exons_1894,chr12s+:g.1691213j1702886_1702982j1754258>1691213j1724716_1724835j1754258[splMUT],ENSG00000006831,2.0,Ref,test,+,0,2,0.0,-2.4426689060712388,21.148563112522602,mutex_exons
651,1,chr1,mutex_exons_652,chr1s-:g.20981227j20982388_20982408j21002713>20981227j21001199_21001304j21002713[splMUT],ENSG00000075151,2.0,test,Ref,-,2,0,0.5534809823043211,3.769215759452067,21.1300762994217,mutex_exons
654,3,chr1,mutex_exons_655,chr1s-:g.20981227j20982388_20982408j21002713>20981227j21001199_21001324j21002713[splMUT],ENSG00000075151,2.0,test,Ref,-,2,0,0.6033603810168989,3.7283622151484597,20.600428174989702,mutex_exons
4175,1,chr19,mutex_exons_4176,chr19s+:g.15641613j15643907_15644051j15647052>15641613j15645719_15645863j15647052[splMUT],ENSG00000186529,2.0,Ref,test,+,0,2,0.0,-3.591120654287248,19.5708521029922,mutex_exons
652,1,chr1,mutex_exons_653,chr1s-:g.20981227j20982388_20982408j21002713>20981227j21001199_21001307j21002713[splMUT],ENSG00000075151,2.0,test,Ref,-,2,0,0.539519334009536,3.3992540170236865,18.794221193328102,mutex_exons
2892,3,chr14,mutex_exons_2893,chr14s+:g.100831534j100835739_100835879j100836167>100831534j100832512_100834751j100836167[splMUT],ENSG00000214548,2.0,Ref,test,+,0,2,-0.7354706058201859,-3.481130801883957,18.4619643906124,mutex_exons
5374,0,chr2,mutex_exons_5375,chr2s-:g.230216928j230219148_230219197j230219874>230216928j230219556_230219673j230219874[splMUT],ENSG00000135899,2.0,test,Ref,-,2,0,0.0,2.3578749938091317,16.551643314944002,mutex_exons
4746,0,chr2,mutex_exons_4747,chr2s+:g.112089718j112091712_112091783j112097055>112089718j112095228_112095299j112097055[splMUT],ENSG00000153214,2.0,Ref,test,+,0,2,-1.0329917443221999,-3.736810936212473,15.9413740388344,mutex_exons
3280,25,chr15,mutex_exons_3281,chr15s-:g.72200655j72202454_72202620j72206728>72200655j72203022_72203188j72206728[splMUT],ENSG00000067225,2.0,Ref,test,-,0,2,-1.14029800369232,-4.014367445121926,15.4430897145361,mutex_exons
2838,10,chr14,mutex_exons_2839,chr14s+:g.76176690j76177892_76177931j76180764>76176690j76177988_76178042j76180764[splMUT],ENSG00000089916,2.0,test,Ref,+,2,0,2.6348544962032796,3.852360068344377,14.9924002113462,mutex_exons
653,3,chr1,mutex_exons_654,chr1s-:g.20981227j20982388_20982408j21002713>20981227j21001199_21001312j21002713[splMUT],ENSG00000075151,2.0,test,Ref,-,2,0,0.45774285273109994,2.8622112179321415,13.7394359322379,mutex_exons
1947,0,chr12,mutex_exons_1948,chr12s+:g.25195337j25203725_25203832j25203920>25195337j25198475_25198711j25203920[splMUT],ENSG00000205707,2.0,Ref,test,+,0,2,0.0,-2.081837475689798,13.4880059913253,mutex_exons
2837,0,chr14,mutex_exons_2838,chr14s+:g.76176690j76177892_76177931j76178208>76176690j76177988_76178042j76178208[splMUT],ENSG00000089916,2.0,test,Ref,+,2,0,2.55609876252462,3.3216730220975417,13.3421778716009,mutex_exons
8021,0,chr9,mutex_exons_8022,chr9s+:g.88388538j88415607_88415699j88418850>88388538j88402012_88402135j88418850[splMUT],ENSG00000106723,2.0,Ref,test,+,0,2,-2.3819184182689703,-3.9239388918934783,13.0128137278301,mutex_exons
8091,5,chr9,mutex_exons_8092,chr9s+:g.128222860j128224251_128224389j128234021>128222860j128226035_128226173j128234021[splMUT],ENSG00000106976,2.0,Ref,test,+,0,2,0.0,-2.9260175030723303,12.3178339479843,mutex_exons
70,6,chr1,mutex_exons_71,chr1s+:g.29065158j29068733_29068768j29097807>29065158j29096155_29096604j29097807[splMUT],ENSG00000159023,2.0,test,Ref,+,2,0,2.52255043126974,3.913190958580318,11.7987910800791,mutex_exons
1945,0,chr12,mutex_exons_1946,chr12s+:g.25195337j25203725_25203747j25203920>25195337j25198475_25198711j25203920[splMUT],ENSG00000205707,2.0,Ref,test,+,0,2,0.0,-1.8513834915859688,11.098091606858,mutex_exons
1946,0,chr12,mutex_exons_1947,chr12s+:g.25195337j25203725_25203823j25203920>25195337j25198475_25198711j25203920[splMUT],ENSG00000205707,2.0,Ref,test,+,0,2,0.0,-1.8513834915859688,11.098091606858,mutex_exons
155,10,chr1,mutex_exons_156,chr1s+:g.81985355j81987260_81987341j81990391>81985355j81986901_81987029j81990391[splMUT],ENSG00000117114,2.0,Ref,test,+,0,2,-0.447514405242915,-2.7064678775865523,10.6732444200458,mutex_exons
8386,4,chrX,mutex_exons_8387,chrXs-:g.73837503j73841292_73841321j73850502>73837503j73841382_73841473j73850502[splMUT],ENSG00000229807,1.0,test,Ref,-,1,0,0.0,3.2809332179594657,32.5961059937751,mutex_exons
7594,1,chr7,mutex_exons_7595,chr7s-:g.130945835j130978508_130978528j130984053>130945835j130959869_130959970j130984053[splMUT],ENSG00000231721,1.0,test,Ref,-,1,0,0.0,3.422061204043808,31.806796526689602,mutex_exons
1228,0,chr10,mutex_exons_1229,chr10s-:g.99612599j99613158_99613269j99620533>99612599j99613738_99613924j99620533[splMUT],ENSG00000155287,1.0,Ref,test,-,0,1,0.0,-2.772818909011944,31.0768325175792,mutex_exons
1398,0,chr11,mutex_exons_1399,chr11s+:g.59793514j59795372_59795482j59800778>59793514j59795602_59795712j59800778[splMUT],ENSG00000166900,1.0,Ref,test,+,0,1,0.0,-2.9975119333546543,25.3910658248455,mutex_exons
780,2,chr1,mutex_exons_781,chr1s-:g.111137586j111139501_111139573j111140038>111137586j111139588_111139714j111140038[splMUT],ENSG00000156171,1.0,Ref,test,-,0,1,-0.8069575982790691,-3.131919857948935,25.211096268425102,mutex_exons
7285,1,chr6,mutex_exons_7286,chr6s-:g.130863718j130870039_130870126j130878104>130863718j130867459_130867581j130878104[splMUT],ENSG00000079819,1.0,Ref,test,-,0,1,-0.509856884817259,-2.75659071434014,23.8882036047911,mutex_exons
8024,0,chr9,mutex_exons_8025,chr9s+:g.88389114j88402012_88402135j88426382>88389114j88418778_88418951j88426382[splMUT],ENSG00000106723,1.0,test,Ref,+,1,0,0.0,3.5332729879419613,23.425088251705,mutex_exons
1400,0,chr11,mutex_exons_1401,chr11s+:g.59793514j59795372_59795482j59803218>59793514j59795602_59795712j59803218[splMUT],ENSG00000166900,1.0,Ref,test,+,0,1,0.0,-2.7727404123006187,22.8808128985088,mutex_exons
8271,0,chrX,mutex_exons_8272,chrXs+:g.47194024j47196947_47197024j47198803>47194024j47198167_47198355j47198803[splMUT],ENSG00000130985,1.0,Ref,test,+,0,1,-1.34796651450878,-3.0230985581253824,18.6029050835608,mutex_exons
1077,0,chr10,mutex_exons_1078,chr10s+:g.102714681j102724936_102724996j102726612>102714681j102716234_102716329j102726612[splMUT],ENSG00000156398,1.0,Ref,test,+,0,1,0.0,-1.4084286856348076,18.3095729132525,mutex_exons
3704,0,chr17,mutex_exons_3705,chr17s+:g.7307409j7307592_7307752j7311018>7307409j7309615_7310236j7311018[splMUT],ENSG00000132507,1.0,test,Ref,+,1,0,0.0,1.8991260922121969,18.1665464005884,mutex_exons
8272,9,chrX,mutex_exons_8273,chrXs+:g.47194024j47198309_47198355j47198803>47194024j47196947_47197024j47198803[splMUT],ENSG00000130985,1.0,test,Ref,+,1,0,1.3513146725599399,3.117642635825911,17.839208278234,mutex_exons
549,1,chr1,mutex_exons_550,chr1s-:g.3739407j3739624_3739799j3740160>3739407j3739836_3740015j3740160[splMUT],ENSG00000227372,1.0,test,Ref,-,1,0,0.0,1.9258983726107568,17.0127116761389,mutex_exons
6113,0,chr3,mutex_exons_6114,chr3s+:g.179615059j179615239_179615280j179615983>179615059j179615556_179615615j179615983[splMUT],ENSG00000136521,1.0,test,Ref,+,1,0,0.0,1.3082118098433153,17.0067535279631,mutex_exons
190,0,chr1,mutex_exons_191,chr1s+:g.108696351j108697810_108697863j108698604>108696351j108696740_108696852j108698604[splMUT],ENSG00000134186,1.0,Ref,test,+,0,1,0.0,-1.2711473416207926,16.524915441070302,mutex_exons
6381,0,chr3,mutex_exons_6382,chr3s-:g.195868709j195868875_195869035j195872276>195868709j195870114_195870404j195872276[splMUT],ENSG00000061938,1.0,test,Ref,-,1,0,0.0,1.4177367340629454,16.282007637476,mutex_exons
6619,1,chr4,mutex_exons_6620,chr4s-:g.108817435j108819252_108819329j108824174>108817435j108819812_108819898j108824174[splMUT],ENSG00000188517,1.0,test,Ref,-,1,0,0.0,2.4477732540702437,16.1897996848161,mutex_exons
5408,1,chr20,mutex_exons_5409,chr20s+:g.410025j411249_411330j417526>410025j410412_410522j417526[splMUT],ENSG00000125826,1.0,test,Ref,+,1,0,2.17295775775577,3.276904353880295,15.9982703846611,mutex_exons
5411,1,chr20,mutex_exons_5412,chr20s+:g.410025j411249_411330j417526>410025j410412_410637j417526[splMUT],ENSG00000125826,1.0,test,Ref,+,1,0,2.1703492817274697,3.2649764053493966,15.9940340223788,mutex_exons
6292,2,chr3,mutex_exons_6293,chr3s-:g.100808235j100824858_100824941j100830578>100808235j100829581_100829664j100830578[splMUT],ENSG00000154175,1.0,test,Ref,-,1,0,2.48251138234977,3.5610832702654496,15.4544394535281,mutex_exons
1085,0,chr10,mutex_exons_1086,chr10s+:g.110130486j110131770_110131783j110133326>110130486j110132305_110132744j110133326[splMUT],ENSG00000148700,1.0,test,Ref,+,1,0,0.0,1.1781165594865384,15.315515273325,mutex_exons
1084,0,chr10,mutex_exons_1085,chr10s+:g.110130486j110131770_110131783j110133326>110130486j110132305_110132499j110133326[splMUT],ENSG00000148700,1.0,test,Ref,+,1,0,0.0,1.1780552620509845,15.3147184066628,mutex_exons
8247,1,chr9,mutex_exons_8248,chr9s-:g.137175837j137178068_137178116j137180181>137175837j137177049_137177131j137180181[splMUT],ENSG00000176248,1.0,Ref,test,-,0,1,0.0,-1.3019553362754261,15.1824500665219,mutex_exons
3703,0,chr17,mutex_exons_3704,chr17s+:g.7307115j7307592_7307752j7311018>7307115j7309615_7310236j7311018[splMUT],ENSG00000132507,1.0,test,Ref,+,1,0,0.0,1.8845561824208414,14.9632876745432,mutex_exons
615,0,chr1,mutex_exons_616,chr1s-:g.3739659j3739696_3739731j3740184>3739659j3739739_3740111j3740184[splMUT],ENSG00000227372,1.0,Ref,test,-,0,1,0.0,-1.9109560477281038,14.8975648303264,mutex_exons
622,0,chr1,mutex_exons_623,chr1s-:g.3739659j3739696_3739731j3740184>3739659j3739883_3740111j3740184[splMUT],ENSG00000227372,1.0,Ref,test,-,0,1,0.0,-1.9109560477281038,14.8975648303264,mutex_exons
8277,0,chrX,mutex_exons_8278,chrXs+:g.47196469j47198309_47198355j47198803>47196469j47196947_47197024j47198803[splMUT],ENSG00000130985,1.0,test,Ref,+,1,0,1.3862222046732,2.6751368024283084,14.6569519194219,mutex_exons
6866,0,chr5,mutex_exons_6867,chr5s-:g.128061244j128062374_128062500j128082735>128061244j128081973_128082194j128082735[splMUT],ENSG00000245937,1.0,test,Ref,-,1,0,0.0,1.1178940378243079,14.532622491716001,mutex_exons
6027,1,chr3,mutex_exons_6028,chr3s+:g.138608937j138619711_138619770j138621407>138608937j138610604_138611037j138621407[splMUT],ENSG00000158234,1.0,test,Ref,+,1,0,0.0,2.41301459670338,14.473474904646098,mutex_exons
8022,2,chr9,mutex_exons_8023,chr9s+:g.88388538j88415607_88415699j88426382>88388538j88402012_88402135j88426382[splMUT],ENSG00000106723,1.0,Ref,test,+,0,1,0.0,-3.2211089897886964,14.2424932554003,mutex_exons
4459,7,chr19,mutex_exons_4460,chr19s-:g.49663514j49664674_49664846j49665635>49663514j49664443_49664673j49665635[splMUT],ENSG00000126456,1.0,Ref,test,-,0,1,-0.86712713301592,-2.864074285805673,14.2366372832612,mutex_exons
8268,0,chrX,mutex_exons_8269,chrXs+:g.47194024j47198167_47198355j47198803>47194024j47196356_47197024j47198803[splMUT],ENSG00000130985,1.0,test,Ref,+,1,0,1.58189083130344,2.6156170540915893,14.2239999180064,mutex_exons
8273,8,chrX,mutex_exons_8274,chrXs+:g.47194024j47196947_47197024j47198803>47194024j47198309_47198456j47198803[splMUT],ENSG00000130985,1.0,Ref,test,+,0,1,-1.25051809775232,-2.5535075983102073,14.2101313168739,mutex_exons
8278,0,chrX,mutex_exons_8279,chrXs+:g.47196469j47198309_47198355j47198803>47196469j47196950_47197024j47198803[splMUT],ENSG00000130985,1.0,test,Ref,+,1,0,1.32724966744136,2.6127093708698053,14.134100487927698,mutex_exons
547,2,chr1,mutex_exons_548,chr1s-:g.3739407j3739836_3739871j3740160>3739407j3739624_3739799j3740160[splMUT],ENSG00000227372,1.0,Ref,test,-,0,1,0.0,-1.873400758623878,14.0760807974913,mutex_exons
5015,1,chr2,mutex_exons_5016,chr2s+:g.241809274j241809782_241809925j241814482>241809274j241813333_241813513j241814482[splMUT],ENSG00000204099,1.0,Ref,test,+,0,1,0.0,-1.246655190411519,13.8454356181686,mutex_exons
779,2,chr1,mutex_exons_780,chr1s-:g.111137586j111139501_111139573j111140038>111137586j111139588_111139711j111140038[splMUT],ENSG00000156171,1.0,Ref,test,-,0,1,-1.2659353124002,-2.3764345788129875,13.8053853655248,mutex_exons
3598,0,chr16,mutex_exons_3599,chr16s-:g.64948099j64950631_64950685j64950767>64948099j64948609_64948787j64950767[splMUT],ENSG00000140937,1.0,test,Ref,-,1,0,0.0,1.0521005922758309,13.6773076995858,mutex_exons
8269,2,chrX,mutex_exons_8270,chrXs+:g.47194024j47198309_47198355j47198803>47194024j47196356_47197024j47198803[splMUT],ENSG00000130985,1.0,test,Ref,+,1,0,1.38578800173058,2.7008191457764967,13.6501541294062,mutex_exons
6865,0,chr5,mutex_exons_6866,chr5s-:g.128061244j128062374_128062500j128082735>128061244j128081973_128082191j128082735[splMUT],ENSG00000245937,1.0,test,Ref,-,1,0,0.0,1.0498305806310924,13.6477975482042,mutex_exons
4460,3,chr19,mutex_exons_4461,chr19s-:g.49663514j49664674_49664846j49665672>49663514j49664443_49664673j49665672[splMUT],ENSG00000126456,1.0,Ref,test,-,0,1,-0.9561679163766981,-2.8688480926108415,13.4527389505798,mutex_exons
6613,0,chr4,mutex_exons_6614,chr4s-:g.105424322j105449350_105449403j105473894>105424322j105456681_105456745j105473894[splMUT],ENSG00000138777,1.0,test,Ref,-,1,0,1.4431936213476202,3.131403715117159,13.41768217424,mutex_exons
1076,0,chr10,mutex_exons_1077,chr10s+:g.102714681j102716234_102716329j102726612>102714681j102716589_102716711j102726612[splMUT],ENSG00000156398,1.0,test,Ref,+,1,0,0.0,1.026621333689746,13.3460773379667,mutex_exons
609,0,chr1,mutex_exons_610,chr1s-:g.3739587j3739624_3739634j3739908>3739587j3739836_3739871j3739908[splMUT],ENSG00000227372,1.0,test,Ref,-,1,0,0.0,1.0105271005300847,13.1368523068911,mutex_exons
1207,1,chr10,mutex_exons_1208,chr10s-:g.95410777j95414494_95414655j95421961>95410777j95415469_95415785j95421961[splMUT],ENSG00000095637,1.0,Ref,test,-,0,1,0.0,-1.4035078527991232,13.1266940921701,mutex_exons
798,0,chr1,mutex_exons_799,chr1s-:g.145171185j145186763_145186802j145215639>145171185j145214677_145214731j145215639[splMUT],ENSG00000272419,1.0,test,Ref,-,1,0,0.0,1.0088547107187154,13.1151112393433,mutex_exons
1343,0,chr11,mutex_exons_1344,chr11s+:g.33328633j33333705_33333723j33337075>33328633j33335658_33335766j33337075[splMUT],ENSG00000110422,1.0,test,Ref,+,1,0,0.0,0.9890042410522615,12.857055133679399,mutex_exons
1402,0,chr11,mutex_exons_1403,chr11s+:g.59793514j59795602_59795712j59800778>59793514j59797283_59797396j59800778[splMUT],ENSG00000166900,1.0,test,Ref,+,1,0,0.0,1.8380792836278415,12.847497366413199,mutex_exons
5802,0,chr22,mutex_exons_5803,chr22s-:g.35746561j35752613_35752655j35756105>35746561j35750184_35750260j35756105[splMUT],ENSG00000100320,1.0,Ref,test,-,0,1,0.0,-1.6935431027405583,12.846976080166499,mutex_exons
8270,2,chrX,mutex_exons_8271,chrXs+:g.47194024j47198309_47198456j47198803>47194024j47196356_47197024j47198803[splMUT],ENSG00000130985,1.0,test,Ref,+,1,0,1.21785478526292,2.407470576874287,12.698168941111698,mutex_exons
7249,2,chr6,mutex_exons_7250,chr6s-:g.90536401j90542460_90542529j90547258>90536401j90544552_90544632j90547258[splMUT],ENSG00000135341,1.0,test,Ref,-,1,0,1.6686490105229599,2.8764897347672735,12.6071800932981,mutex_exons
4218,3,chr19,mutex_exons_4219,chr19s+:g.35329230j35337755_35338021j35340881>35329230j35332019_35332924j35340881[splMUT],ENSG00000012124,1.0,test,Ref,+,1,0,2.0459670163736696,3.649574555263825,12.4822147110721,mutex_exons
7014,0,chr6,mutex_exons_7015,chr6s+:g.30881125j30881927_30881993j30884538>30881125j30884058_30884145j30884538[splMUT],ENSG00000204580,1.0,test,Ref,+,1,0,0.0,0.9567397548198306,12.437616812657799,mutex_exons
5655,0,chr21,mutex_exons_5656,chr21s+:g.45735429j45755417_45755452j45849961>45735429j45788298_45788377j45849961[splMUT],ENSG00000183570,1.0,Ref,test,+,0,1,0.0,-1.2960855415449652,12.428816116823098,mutex_exons
5702,0,chr22,mutex_exons_5703,chr22s+:g.24868855j24871321_24871459j24876577>24868855j24874415_24874579j24876577[splMUT],ENSG00000167037,1.0,test,Ref,+,1,0,0.0,1.3667495420069753,12.4152813744647,mutex_exons
7597,0,chr7,mutex_exons_7598,chr7s-:g.130984109j131009709_131009778j131052425>130984109j131002197_131002320j131052425[splMUT],ENSG00000231721,1.0,test,Ref,-,1,0,0.0,1.722609539192093,12.320210337449,mutex_exons
2736,0,chr14,mutex_exons_2737,chr14s+:g.21102192j21102457_21102515j21103139>21102192j21102682_21102779j21103139[splMUT],ENSG00000232070,1.0,test,Ref,+,1,0,0.0,1.2834936818890479,12.3156761297199,mutex_exons
4463,0,chr19,mutex_exons_4464,chr19s-:g.49663514j49664443_49664673j49665635>49663514j49664674_49664950j49665635[splMUT],ENSG00000126456,1.0,test,Ref,-,1,0,0.8245330704982221,2.4743601125785726,12.2555449326804,mutex_exons
4462,0,chr19,mutex_exons_4463,chr19s-:g.49663514j49664674_49664901j49665635>49663514j49664443_49664673j49665635[splMUT],ENSG00000126456,1.0,Ref,test,-,0,1,-0.8236328863126241,-2.4912239154842077,12.244746388492699,mutex_exons
1073,0,chr10,mutex_exons_1074,chr10s+:g.102714681j102716234_102716329j102726612>102714681j102715223_102715328j102726612[splMUT],ENSG00000156398,1.0,test,Ref,+,1,0,0.0,0.9316549332842846,12.1115141326957,mutex_exons
3185,0,chr15,mutex_exons_3186,chr15s+:g.85117839j85120474_85120583j85123061>85117839j85120807_85121014j85123061[splMUT],ENSG00000073417,1.0,test,Ref,+,1,0,1.29598129669739,2.7631376211192356,12.0830501891921,mutex_exons
3184,0,chr15,mutex_exons_3185,chr15s+:g.85117839j85120474_85120583j85123061>85117839j85120782_85121014j85123061[splMUT],ENSG00000073417,1.0,test,Ref,+,1,0,1.29538038740879,2.792139684538863,12.0772608488811,mutex_exons
237,0,chr1,mutex_exons_238,chr1s+:g.120827226j120829764_120829815j120833683>120827226j120831298_120831349j120833683[splMUT],ENSG00000273136,1.0,Ref,test,+,0,1,0.0,-1.1442505597453545,11.996498875851,mutex_exons
6823,0,chr5,mutex_exons_6824,chr5s-:g.42808366j42809760_42809783j42811836>42808366j42811665_42811746j42811836[splMUT],ENSG00000250722,1.0,Ref,test,-,0,1,-0.293813941193724,-2.018704446432086,11.972946845228,mutex_exons
4458,12,chr19,mutex_exons_4459,chr19s-:g.49663514j49664674_49664846j49665631>49663514j49664443_49664673j49665631[splMUT],ENSG00000126456,1.0,Ref,test,-,0,1,-1.0842125862765,-2.521567854138847,11.9028041031154,mutex_exons
6380,0,chr3,mutex_exons_6381,chr3s-:g.195868709j195868875_195869035j195872276>195868709j195870114_195870378j195872276[splMUT],ENSG00000061938,1.0,test,Ref,-,1,0,0.0,1.070086252711653,11.8818295272571,mutex_exons
787,0,chr1,mutex_exons_788,chr1s-:g.113738799j113749506_113749586j113757699>113738799j113742948_113743079j113757699[splMUT],ENSG00000116793,1.0,Ref,test,-,0,1,0.0,-1.6634671655036568,11.865871760248,mutex_exons
8228,1,chr9,mutex_exons_8229,chr9s-:g.131602149j131603961_131604053j131621796>131602149j131619051_131619206j131621796[splMUT],ENSG00000107263,1.0,Ref,test,-,0,1,-1.41089714055426,-2.95378038085284,11.7999480494552,mutex_exons
8274,1,chrX,mutex_exons_8275,chrXs+:g.47194024j47196950_47197024j47198803>47194024j47198167_47198355j47198803[splMUT],ENSG00000130985,1.0,Ref,test,+,0,1,-1.60786218364376,-2.45584580191631,11.7040427109936,mutex_exons
