,seq_header,seq_id,novelSeq
1,en|ENST00000615219,en|ENST00000615219:g.120823360j120833603_120833775j120834495>120823360j120830416_120830588j120834495,False
2,en|ENST00000615219,en|ENST00000615219,False
0,en|ENST00000615145,en|ENST00000615145:g.120823360j120833603_120833775j120834495>120823360j120830416_120830588j120834495,False
1,en|ENST00000615145,en|ENST00000615145,False
2,en|ENST00000615145,en|ENST00000615145:g.120833775j120834495_120834546j120837169>120833775j120836517_120836568j120837169,False
0,en|ENST00000620612,en|ENST00000620612:g.120833775j120836517_120836568j120837169>120833775j120834495_120834546j120837169,False
1,en|ENST00000620612,en|ENST00000620612:g.120824146j120829764_120829815j120830416>120824146j120824866_120824917j120830416,False
2,en|ENST00000620612,en|ENST00000620612,False
0,en|ENST00000617913,en|ENST00000617913,False
1,en|ENST00000617913,en|ENST00000617913:g.120824146j120824866_120824917j120830416>120824146j120829764_120829815j120830416,False
0,en|ENST00000609741,en|ENST00000609741:g.120824146j120824866_120824917j120830416>120824146j120829764_120829815j120830416,False
1,en|ENST00000609741,en|ENST00000609741,False
0,en|ENST00000611702,en|ENST00000611702,False
0,en|ENST00000611287,en|ENST00000611287,False
0,en|ENST00000534502,en|ENST00000534502,False
1,en|ENST00000534502,en|ENST00000534502:g.145608175j145612202_145612247j145616234>145608175j145608348_145608675j145616234,False
0,en|ENST00000439206,en|ENST00000439206,False
0,en|ENST00000613714,en|ENST00000613714,False
0,en|ENST00000579935,en|ENST00000579935,False
0,en|ENST00000617864,en|ENST00000617864,False
1,en|ENST00000617864,en|ENST00000617864:g.146988126j146988841_146988949j146994332>146988126j146990466_146990517j146994332,False
0,en|ENST00000611443,en|ENST00000611443,False
0,en|ENST00000617614,en|ENST00000617614,False
0,en|ENST00000438568,en|ENST00000438568,False
0,en|ENST00000369054,en|ENST00000369054,False
0,en|ENST00000324048,en|ENST00000324048:g.151282395j151285206_151286074j151286275>151282395j151283188_151283318j151286275,False
1,en|ENST00000324048,en|ENST00000324048,False
0,en|ENST00000331860,en|ENST00000331860,False
1,en|ENST00000331860,en|ENST00000331860:g.153001793j153002603_153002686j153003002>153001793j153001946_153002272j153003002,False
2,en|ENST00000331860,en|ENST00000331860:g.153001793j153002603_153002686j153003002>153001793j153001946_153002241j153003002,False
0,en|ENST00000295530,en|ENST00000295530,False
0,en|ENST00000315144,en|ENST00000315144,False
0,en|ENST00000292180,en|ENST00000292180,False
0,en|ENST00000368428,en|ENST00000368428,False
0,en|ENST00000359280,en|ENST00000359280,False
0,en|ENST00000356955,en|ENST00000356955,False
0,en|ENST00000449910,en|ENST00000449910,False
0,en|ENST00000368341,en|ENST00000368341,False
0,en|ENST00000368076,en|ENST00000368076,False
1,en|ENST00000368076,en|ENST00000368076:g.160205522j160207133_160207237j160208464>160205522j160207028_160207068j160208464,False
0,en|ENST00000441662,en|ENST00000441662,False
0,en|ENST00000444090,en|ENST00000444090,False
0,en|ENST00000540521,en|ENST00000540521,False
0,en|ENST00000294796,en|ENST00000294796,False
0,en|ENST00000254521,en|ENST00000254521,False
0,en|ENST00000367885,en|ENST00000367885,False
0,en|ENST00000541643,en|ENST00000541643,False
1,en|ENST00000541643,en|ENST00000541643:g.167220958j167303474_167303574j167332470>167220958j167257820_167257917j167332470,False
0,en|ENST00000367567|ENST00000367570,en|ENST00000367567,False
1,en|ENST00000367567|ENST00000367570,en|ENST00000367570,False
0,en|ENST00000621791|ENST00000358338,en|ENST00000621791,False
1,en|ENST00000621791|ENST00000358338,en|ENST00000358338,False
0,en|ENST00000360108,en|ENST00000360108,False
0,en|ENST00000367573|ENST00000621551,en|ENST00000367573,False
1,en|ENST00000367573|ENST00000621551,en|ENST00000621551,False
0,en|ENST00000357570,en|ENST00000357570,False
0,en|ENST00000367537,en|ENST00000367537,False
0,en|ENST00000614459,en|ENST00000614459,False
0,en|ENST00000539706|ENST00000404907,en|ENST00000539706,False
1,en|ENST00000539706|ENST00000404907,en|ENST00000404907,False
0,en|ENST00000404076,en|ENST00000404076,False
0,en|ENST00000645323,en|ENST00000314754:g.207339417j207340391_207340508j207359546>207339417j207347447_207347561j207359546,False
1,en|ENST00000645323,en|ENST00000645323,False
0,en|ENST00000644836,en|ENST00000645323:g.207339417j207347447_207347561j207359546>207339417j207354007_207354099j207359546,False
1,en|ENST00000644836,en|ENST00000314754:g.207339417j207340391_207340508j207359546>207339417j207354007_207354099j207359546,False
2,en|ENST00000644836,en|ENST00000644836,False
0,en|ENST00000314754,en|ENST00000314754,False
1,en|ENST00000314754,en|ENST00000645323:g.207339417j207347447_207347561j207359546>207339417j207340391_207340508j207359546,False
0,en|ENST00000367051,en|ENST00000367051,False
0,en|ENST00000400960|ENST00000367053,en|ENST00000400960:g.207542580j207563864_207564040j207564132>207542580j207545308_207545484j207564132,False
1,en|ENST00000400960|ENST00000367053,en|ENST00000400960:g.207540066j207542182_207542580j207563864>207540066j207560739_207561137j207563864,False
2,en|ENST00000400960|ENST00000367053,en|ENST00000400960,False
3,en|ENST00000400960|ENST00000367053,en|ENST00000367053:g.207540066j207560739_207561137j207563864>207540066j207542182_207542580j207563864,False
4,en|ENST00000400960|ENST00000367053,en|ENST00000367051:g.207511654j207542182_207542580j207545308>207511654j207523611_207524009j207545308,False
5,en|ENST00000400960|ENST00000367053,en|ENST00000367053,False
0,en|ENST00000508064,en|ENST00000508064,False
0,en|ENST00000480003,en|ENST00000480003,False
0,en|ENST00000367015|ENST00000537238,en|ENST00000367015:g.209952756j209953055_209953259j210013633>209952756j209965893_209966013j210013633,False
1,en|ENST00000367015|ENST00000537238,en|ENST00000537238:g.209952756j209953055_209953259j210013633>209952756j209965893_209966013j210013633,False
2,en|ENST00000367015|ENST00000537238,en|ENST00000367015,False
3,en|ENST00000367015|ENST00000537238,en|ENST00000537238,False
0,en|ENST00000629778,en|ENST00000629778,False
0,en|ENST00000615329,en|ENST00000615329,False
1,en|ENST00000615329,en|ENST00000615329:g.213167973j213176400_213176492j213240702>213167973j213232123_213232255j213240702,False
0,en|ENST00000465271,en|ENST00000465271,False
0,en|ENST00000366858,en|ENST00000366858,False
0,en|ENST00000366857,en|ENST00000366857,False
0,en|ENST00000366856,en|ENST00000366856,False
0,en|ENST00000445597,en|ENST00000445597,False
0,en|ENST00000430092|ENST00000439375,en|ENST00000430092,False
1,en|ENST00000430092|ENST00000439375,en|ENST00000439375,False
0,en|ENST00000284548,en|ENST00000284548,False
0,en|ENST00000422127|ENST00000636875,en|ENST00000422127,False
1,en|ENST00000422127|ENST00000636875,en|ENST00000636875,False
0,en|ENST00000642610|ENST00000647186|ENST00000645655|ENST00000406207|ENST00000645205,en|ENST00000642610,False
1,en|ENST00000642610|ENST00000647186|ENST00000645655|ENST00000406207|ENST00000645205,en|ENST00000645655:g.235328778j235335242_235335334j235363014>235328778j235342836_235342883j235363014,False
2,en|ENST00000642610|ENST00000647186|ENST00000645655|ENST00000406207|ENST00000645205,en|ENST00000647186:g.235328778j235335242_235335334j235367102>235328778j235342836_235342883j235367102,False
3,en|ENST00000642610|ENST00000647186|ENST00000645655|ENST00000406207|ENST00000645205,en|ENST00000647186,False
4,en|ENST00000642610|ENST00000647186|ENST00000645655|ENST00000406207|ENST00000645205,en|ENST00000645655,False
5,en|ENST00000642610|ENST00000647186|ENST00000645655|ENST00000406207|ENST00000645205,en|ENST00000406207,False
6,en|ENST00000642610|ENST00000647186|ENST00000645655|ENST00000406207|ENST00000645205,en|ENST00000645205:g.235328778j235342836_235342883j235363014>235328778j235335242_235335334j235363014,False
7,en|ENST00000642610|ENST00000647186|ENST00000645655|ENST00000406207|ENST00000645205,en|ENST00000645205,False
0,en|ENST00000645899,en|ENST00000645899,False
0,en|ENST00000543662,en|ENST00000543662,False
0,en|ENST00000366601,en|ENST00000366601,False
0,en|ENST00000644217,en|ENST00000644217,False
0,en|ENST00000644578,en|ENST00000644578,False
0,en|ENST00000379339,en|ENST00000379339:g.1092103j1115022_1115075j1116060>1092103j1105956_1106049j1116060,False
1,en|ENST00000379339,en|ENST00000379339,False
0,en|ENST00000400930,en|ENST00000400930,False
0,en|ENST00000419704,en|ENST00000419704,False
0,en|ENST00000411962,en|ENST00000411962,False
0,en|ENST00000408952,en|ENST00000408952,False
0,en|ENST00000626918,en|ENST00000626918,False
0,en|ENST00000629312,en|ENST00000629312,False
0,en|ENST00000294599,en|ENST00000294599,False
0,en|ENST00000356575,en|ENST00000356575,False
0,en|ENST00000351748,en|ENST00000351748,False
0,en|ENST00000294543,en|ENST00000294543,False
1,en|ENST00000294543,en|ENST00000294543:g.19787117j19798137_19798215j19799855>19787117j19799484_19799625j19799855,False
0,en|ENST00000602326,en|ENST00000602326:g.21089213j21176175_21176358j21176722>21089213j21111323_21111383j21176722,False
1,en|ENST00000602326,en|ENST00000602326,False
0,en|ENST00000356916,en|ENST00000356916,False
0,en|ENST00000374935,en|ENST00000374935:g.21089213j21176175_21176358j21176722>21089213j21111323_21111383j21176722,False
1,en|ENST00000374935,en|ENST00000374935,False
0,en|ENST00000400422,en|ENST00000400422:g.21089213j21176175_21176358j21176722>21089213j21111323_21111383j21176722,False
1,en|ENST00000400422,en|ENST00000400422,False
0,en|ENST00000495646,en|ENST00000495646,False
0,en|ENST00000336689,en|ENST00000336689,False
0,en|ENST00000437606,en|ENST00000437606,False
0,en|ENST00000539896,en|ENST00000539896,False
1,en|ENST00000539896,en|ENST00000539896:g.28151059j28176592_28176673j28193722>28151059j28188982_28189055j28193722,False
0,en|ENST00000468695,en|ENST00000468695,False
0,en|ENST00000373501,en|ENST00000373501,False
0,en|ENST00000465588,en|ENST00000465588,False
0,en|ENST00000356637,en|ENST00000356637,False
0,en|ENST00000373026|ENST00000373023,en|ENST00000373026,False
1,en|ENST00000373026|ENST00000373023,en|ENST00000373023,False
0,en|ENST00000458109,en|ENST00000458109,False
0,en|ENST00000373027,en|ENST00000373027,False
0,en|ENST00000373024,en|ENST00000373024,False
0,en|ENST00000472487,en|ENST00000472487,False
0,en|ENST00000294678,en|ENST00000294678,False
0,en|ENST00000370360,en|ENST00000370360,False
0,en|ENST00000437429,en|ENST00000437429,False
0,en|ENST00000359785,en|ENST00000359785,False
0,en|ENST00000538253,en|ENST00000538253,False
0,en|ENST00000528414,en|ENST00000528414,False
0,en|ENST00000610726|ENST00000438362,en|ENST00000610726,False
1,en|ENST00000610726|ENST00000438362,en|ENST00000438362,False
0,en|ENST00000369530,en|ENST00000369530,False
0,en|ENST00000583509,en|ENST00000583509,False
0,en|ENST00000487562,en|ENST00000487562,False
1,en|ENST00000487562,en|ENST00000583509:g.147650238j147652449_147652549j147654194>147650238j147652592_147652647j147654194,False
0,en|ENST00000621066,en|ENST00000621066,False
0,en|ENST00000581201,en|ENST00000581201,False
0,en|ENST00000614329,en|ENST00000614329,False
1,en|ENST00000614329,en|ENST00000614329:g.148533248j148551153_148551261j148551976>148533248j148535453_148535504j148551976,False
0,en|ENST00000616120,en|ENST00000616120:g.148533248j148551153_148551261j148551976>148533248j148535453_148535504j148551976,False
1,en|ENST00000616120,en|ENST00000616120,False
0,en|ENST00000621070,en|ENST00000621070,False
0,en|ENST00000611826,en|ENST00000611826,False
0,en|ENST00000620240,en|ENST00000620240:g.148533248j148551153_148551261j148551976>148533248j148535453_148535504j148551976,False
1,en|ENST00000620240,en|ENST00000620240,False
0,en|ENST00000613969,en|ENST00000610300:g.149058215j149062093_149062265j149062862>149058215j149058925_149059097j149062862,False
1,en|ENST00000613969,en|ENST00000613969,False
0,en|ENST00000610300,en|ENST00000610300,False
1,en|ENST00000610300,en|ENST00000613969:g.149058215j149058925_149059097j149062862>149058215j149062093_149062265j149062862,False
0,en|ENST00000483630,en|ENST00000483630:g.149058215j149058925_149059097j149062862>149058215j149062210_149062265j149062862,False
1,en|ENST00000483630,en|ENST00000483630:g.149058215j149058925_149059097j149062862>149058215j149062093_149062265j149062862,False
2,en|ENST00000483630,en|ENST00000483630,False
0,en|ENST00000621074,en|ENST00000621074,False
0,en|ENST00000369115|ENST00000629042,en|ENST00000369115,False
1,en|ENST00000369115|ENST00000629042,en|ENST00000629042,False
0,en|ENST00000369016,en|ENST00000369016,False
0,en|ENST00000361631,en|ENST00000361631,False
0,en|ENST00000339643,en|ENST00000339643,False
0,en|ENST00000503241,en|ENST00000503241,False
0,en|ENST00000515192,en|ENST00000515192:g.150858460j150861247_150861302j150876543>150858460j150861361_150861395j150876543,False
1,en|ENST00000515192,en|ENST00000515192,False
0,en|ENST00000493834,en|ENST00000493834,False
0,en|ENST00000368633,en|ENST00000368633,False
0,en|ENST00000368465,en|ENST00000368465,False
0,en|ENST00000368389,en|ENST00000368389,False
0,en|ENST00000342482,en|ENST00000342482,False
0,en|ENST00000610359,en|ENST00000610359,False
0,en|ENST00000438413,en|ENST00000438413,False
1,en|ENST00000438413,en|ENST00000368398:g.155187858j155188163_155188212j155192183>155187858j155188008_155188054j155192183,False
0,en|ENST00000368398,en|ENST00000438413:g.155187858j155188008_155188054j155192183>155187858j155188163_155188212j155192183,False
1,en|ENST00000368398,en|ENST00000368398,False
0,en|ENST00000620426,en|ENST00000620426:g.155752587j155756959_155757077j155757180>155752587j155754375_155754488j155757180,False
1,en|ENST00000620426,en|ENST00000620426,False
2,en|ENST00000620426,en|ENST00000620426:g.155752587j155756959_155757077j155757180>155752587j155753204_155754488j155757180,False
0,en|ENST00000529008,en|ENST00000496742:g.156009650j156011810_156011887j156020013>156009650j156018270_156018368j156020013,False
1,en|ENST00000529008,en|ENST00000529008,False
0,en|ENST00000496742,en|ENST00000529008:g.156009650j156018270_156018368j156020013>156009650j156011810_156011887j156020013,False
1,en|ENST00000496742,en|ENST00000496742,False
0,en|ENST00000612353,en|ENST00000612353,False
0,en|ENST00000362007,en|ENST00000362007,False
0,en|ENST00000472765,en|ENST00000472765,False
1,en|ENST00000472765,en|ENST00000472765:g.156335888j156337677_156337789j156338154>156335888j156337079_156337240j156338154,False
0,en|ENST00000464356,en|ENST00000464356,False
1,en|ENST00000464356,en|ENST00000360595:g.156479796j156480834_156480971j156482437>156479796j156480643_156480777j156482437,False
0,en|ENST00000348159,en|ENST00000348159,False
0,en|ENST00000360595,en|ENST00000360595,False
1,en|ENST00000360595,en|ENST00000464356:g.156479796j156480643_156480777j156482437>156479796j156480834_156480971j156482437,False
0,en|ENST00000491942,en|ENST00000491942,False
0,en|ENST00000368176,en|ENST00000368176,False
0,en|ENST00000358292,en|ENST00000358292,False
0,en|ENST00000609928,en|ENST00000609928,False
1,en|ENST00000609928,en|ENST00000609928:g.179865854j179877239_179877373j179877693>179865854j179868808_179869196j179877693,False
2,en|ENST00000609928,en|ENST00000609928:g.179865854j179877239_179877373j179877693>179865854j179868496_179869196j179877693,False
0,en|ENST00000482587,en|ENST00000482587,False
1,en|ENST00000482587,en|ENST00000482587:g.179865854j179877239_179877373j179877693>179865854j179868496_179869196j179877693,False
2,en|ENST00000482587,en|ENST00000482587:g.179865854j179877239_179877373j179877693>179865854j179868808_179869196j179877693,False
0,en|ENST00000294725,en|ENST00000294725,False
0,en|ENST00000367433,en|ENST00000367433,False
0,en|ENST00000451324,en|ENST00000451324,False
0,en|ENST00000367176,en|ENST00000367176:g.204620218j204682870_204682997j204685320>204620218j204633144_204633246j204685320,False
1,en|ENST00000367176,en|ENST00000367176,False
0,en|ENST00000367154|ENST00000391936,en|ENST00000367154,False
1,en|ENST00000367154|ENST00000391936,en|ENST00000391936,False
0,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000366938,False
1,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000361395,False
2,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000361525:g.216677491j216865061_216865178j216939582>216677491j216715074_216715249j216939582,False
3,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000366938:g.216677491j216715074_216715249j216939582>216677491j216865061_216865178j216939582,False
4,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000361395:g.216677491j216865061_216865178j216939582>216677491j216707359_216707486j216939582,False
5,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000493603:g.216677491j216865061_216865178j216939582>216677491j216707359_216707486j216939582,False
6,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000361525,False
7,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000361395:g.216677491j216865061_216865178j216939582>216677491j216715074_216715249j216939582,False
8,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000493603:g.216677491j216865061_216865178j216939582>216677491j216715074_216715249j216939582,False
9,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000493603,False
10,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000366938:g.216677491j216715074_216715249j216939582>216677491j216707359_216707486j216939582,False
11,en|ENST00000366938|ENST00000361395|ENST00000361525|ENST00000493603,en|ENST00000361525:g.216677491j216865061_216865178j216939582>216677491j216707359_216707486j216939582,False
0,en|ENST00000354807,en|ENST00000354807,False
0,en|ENST00000366835,en|ENST00000366835,False
0,en|ENST00000334218,en|ENST00000334218,False
0,en|ENST00000366766,en|ENST00000366766,False
0,en|ENST00000366767,en|ENST00000366767,False
0,en|ENST00000366769,en|ENST00000366769,False
1,en|ENST00000366769,en|ENST00000366764:g.227048010j227059373_227059389j227072208>227048010j227069777_227069853j227072208,False
0,en|ENST00000366764,en|ENST00000366764,False
1,en|ENST00000366764,en|ENST00000366769:g.227048010j227069777_227069853j227072208>227048010j227059373_227059389j227072208,False
0,en|ENST00000295008,en|ENST00000295008:g.228108318j228108955_228109021j228109261>228108318j228108437_228108897j228109261,False
1,en|ENST00000295008,en|ENST00000295008,False
0,en|ENST00000590317,en|ENST00000590317,False
1,en|ENST00000590317,en|ENST00000590317:g.248751130j248755239_248755386j248755705>248751130j248752073_248752309j248755705,False
0,en|ENST00000381125,en|ENST00000381125,False
0,en|ENST00000381075,en|ENST00000381075,False
0,en|ENST00000379785,en|ENST00000379785,False
0,en|ENST00000379033,en|ENST00000379033,False
0,en|ENST00000298428,en|ENST00000298428,False
0,en|ENST00000304267,en|ENST00000304267,False
0,en|ENST00000379020,en|ENST00000379020,False
0,en|ENST00000378752,en|ENST00000378752:g.13100302j13108138_13108289j13108962>13100302j13101777_13101885j13108962,False
1,en|ENST00000378752,en|ENST00000378752,False
0,en|ENST00000378748,en|ENST00000378748,False
1,en|ENST00000378748,en|ENST00000378748:g.13100302j13108138_13108289j13108962>13100302j13101777_13101885j13108962,False
0,en|ENST00000407572,en|ENST00000407572,False
0,en|ENST00000377495,en|ENST00000377495,False
0,en|ENST00000324631,en|ENST00000324631,False
1,en|ENST00000324631,en|ENST00000352115:g.18506547j18514980_18515041j18518336>18506547j18514236_18514369j18518336,False
0,en|ENST00000282343,en|ENST00000282343,False
1,en|ENST00000282343,en|ENST00000645287:g.18506547j18514980_18515041j18518336>18506547j18514236_18514369j18518336,False
0,en|ENST00000396576,en|ENST00000617363:g.18506547j18514980_18515041j18518336>18506547j18514236_18514369j18518336,False
1,en|ENST00000396576,en|ENST00000396576,False
2,en|ENST00000396576,en|ENST00000377319:g.18506547j18514511_18514530j18518336>18506547j18514236_18514369j18518336,False
0,en|ENST00000377319,en|ENST00000377319,False
1,en|ENST00000377319,en|ENST00000396576:g.18506547j18514236_18514369j18518336>18506547j18514511_18514530j18518336,False
0,en|ENST00000377329,en|ENST00000377329,False
0,en|ENST00000377315,en|ENST00000377315,False
1,en|ENST00000377315,en|ENST00000377331:g.18506547j18514511_18514530j18518336>18506547j18514236_18514369j18518336,False
0,en|ENST00000377331,en|ENST00000377315:g.18506547j18514236_18514369j18518336>18506547j18514511_18514530j18518336,False
1,en|ENST00000377331,en|ENST00000377331,False
0,en|ENST00000352115,en|ENST00000324631:g.18506547j18514236_18514369j18518336>18506547j18514980_18515041j18518336,False
1,en|ENST00000352115,en|ENST00000352115,False
0,en|ENST00000645287,en|ENST00000645287,False
1,en|ENST00000645287,en|ENST00000282343:g.18506547j18514236_18514369j18518336>18506547j18514980_18515041j18518336,False
0,en|ENST00000617363,en|ENST00000617363,False
1,en|ENST00000617363,en|ENST00000396576:g.18506547j18514236_18514369j18518336>18506547j18514980_18515041j18518336,False
0,en|ENST00000454679,en|ENST00000454679,False
0,en|ENST00000377072,en|ENST00000377072,False
0,en|ENST00000535776,en|ENST00000535776,False
1,en|ENST00000535776,en|ENST00000375802:g.27509930j27533735_27533853j27533928>27509930j27526828_27526889j27533928,False
0,en|ENST00000375802,en|ENST00000375802,False
1,en|ENST00000375802,en|ENST00000535776:g.27509930j27526828_27526889j27533928>27509930j27533735_27533853j27533928,False
0,en|ENST00000628285,en|ENST00000628285:g.28614685j28616176_28616362j28617657>28614685j28615328_28615573j28617657,False
1,en|ENST00000628285,en|ENST00000628285,False
0,en|ENST00000468236,en|ENST00000468236,False
0,en|ENST00000611781,en|ENST00000611781:g.37165155j37166605_37166695j37181322>37165155j37177666_37177756j37181322,False
1,en|ENST00000611781,en|ENST00000611781,False
0,en|ENST00000602533,en|ENST00000602533:g.37165155j37177666_37177756j37181322>37165155j37166605_37166695j37181322,False
1,en|ENST00000602533,en|ENST00000602533,False
0,en|ENST00000616495,en|ENST00000616495,False
0,en|ENST00000509599|ENST00000374346,en|ENST00000509599,False
1,en|ENST00000509599|ENST00000374346,en|ENST00000374346,False
0,en|ENST00000395725|ENST00000508602|ENST00000509900,en|ENST00000395725,False
1,en|ENST00000395725|ENST00000508602|ENST00000509900,en|ENST00000508602,False
2,en|ENST00000395725|ENST00000508602|ENST00000509900,en|ENST00000513266:g.46965137j46987340_46987555j46999912>46965137j46967957_46968047j46999912,False
3,en|ENST00000395725|ENST00000508602|ENST00000509900,en|ENST00000509900,False
0,en|ENST00000513266,en|ENST00000513266,False
0,en|ENST00000509774,en|ENST00000509774,False
1,en|ENST00000509774,en|ENST00000513156:g.46965137j46987340_46987555j46999912>46965137j46967957_46968047j46999912,False
0,en|ENST00000513156,en|ENST00000513156,False
0,en|ENST00000374176|ENST00000395611,en|ENST00000374176,False
1,en|ENST00000374176|ENST00000395611,en|ENST00000395611,False
2,en|ENST00000374176|ENST00000395611,en|ENST00000374189:g.48420320j48424088_48424159j48425888>48420320j48424514_48424585j48425888,False
0,en|ENST00000374189,en|ENST00000395611:g.48420320j48424514_48424585j48425888>48420320j48424088_48424159j48425888,False
1,en|ENST00000374189,en|ENST00000374189,False
2,en|ENST00000374189,en|ENST00000374176:g.48420320j48424514_48424585j48425888>48420320j48424088_48424159j48425888,False
0,en|ENST00000374179,en|ENST00000374179,False
